text,condition,record_type
Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.,Mobility Problems,Clinical Notes
Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.,Parasites,Clinical Notes
My cat's hearing seems diminished.,Ear Infections,Owner Observation
"Ferret has pale gums, possibly flea-induced anemia.",Parasites,Owner Observation
Cat vomited 5 times in the past few hours.,Digestive Issues,Owner Observation
Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.,Parasites,Clinical Notes
The ear canal seems narrowed and swollen shut.,Ear Infections,Owner Observation
My cat vomited what looked like a roundworm.,Digestive Issues,Owner Observation
Cat has nerve damage affecting her leg.,Mobility Problems,Owner Observation
Long-term maintenance therapy with weekly ear cleaner/medication may be required.,Ear Infections,Clinical Notes
"Fecal score: 6/7 (soft, unformed).",Digestive Issues,Clinical Notes
Recommend probiotics (FortiFlora) to support gut health.,Digestive Issues,Clinical Notes
Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.,Parasites,Clinical Notes
"Ferret has dark, waxy debris in ears.",Ear Infections,Owner Observation
"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics.",Skin Irritations,Clinical Notes
Motility disorder suspected; consider trial with cisapride.,Digestive Issues,Clinical Notes
Ferret is tilting its head.,Ear Infections,Owner Observation
CSF tap performed; analysis pending.,Mobility Problems,Clinical Notes
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations,Owner Observation
My dog has water trapped in his ear after a bath.,Ear Infections,Owner Observation
Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.,Parasites,Clinical Notes
Administer opioid analgesic (methadone) for severe abdominal pain.,Digestive Issues,Clinical Notes
"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies.",Skin Irritations,Clinical Notes
Auscultation reveals decreased borborygmi; suggestive of ileus.,Digestive Issues,Clinical Notes
Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.,Mobility Problems,Clinical Notes
Excoriations on tail; rule out flea hypersensitivity.,Skin Irritations,Clinical Notes
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,Owner Observation
Cytauxzoon felis identified on blood smear; grave prognosis.,Parasites,Clinical Notes
"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme.",Parasites,Clinical Notes
Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.,Skin Irritations,Clinical Notes
Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.,Parasites,Clinical Notes
My dog has persistent itching despite flea treatment.,Skin Irritations,Owner Observation
Rabbit is scratching vigorously at the base of its ears.,Ear Infections,Owner Observation
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,Owner Observation
Monitor body weight and body condition score.,Digestive Issues,Clinical Notes
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations,Owner Observation
Treat secondary pyoderma before pursuing allergy diagnostics.,Skin Irritations,Clinical Notes
My guinea pig has developed scaly patches around its eyes.,Skin Irritations,Owner Observation
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues,Owner Observation
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections,Owner Observation
Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.,Mobility Problems,Clinical Notes
Hamster has hair loss and redness on its underside.,Skin Irritations,Owner Observation
Ferret's ears seem painful to touch.,Ear Infections,Owner Observation
Heartworm antigen test positive; stage condition and plan treatment.,Parasites,Clinical Notes
Heartworm antigen test negative. Microfilaria test negative.,Parasites,Clinical Notes
My dog's ear infection requires long-term management.,Ear Infections,Owner Observation
Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.,Digestive Issues,Clinical Notes
Cat has stopped perching in high places.,Mobility Problems,Owner Observation
"Discuss importance of addressing primary factors (allergies, conformation) for long-term control.",Ear Infections,Clinical Notes
Rule out hypothyroidism as cause of dry skin and alopecia.,Skin Irritations,Clinical Notes
Rabbit has hair loss and scaling around the eyes.,Skin Irritations,Owner Observation
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,Owner Observation
"Gait analysis performed: observe walk, trot, turning, stairs.",Mobility Problems,Clinical Notes
"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management).",Ear Infections,Clinical Notes
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues,Owner Observation
My guinea pig has bald spots appearing behind its ears.,Skin Irritations,Owner Observation
Monitor for decubital ulcers in recumbent patients.,Mobility Problems,Clinical Notes
Cat cries out in pain when yawning or eating.,Ear Infections,Owner Observation
"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent).",Mobility Problems,Clinical Notes
Contact dermatitis suspected on sparsely haired ventral abdomen.,Skin Irritations,Clinical Notes
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues,Owner Observation
Cat struggles to climb onto the sofa.,Mobility Problems,Owner Observation
My hamster has diarrhea and isn't acting like himself.,Digestive Issues,Owner Observation
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,Owner Observation
Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,Skin Irritations,Clinical Notes
My dog yelps when jumping off the couch.,Mobility Problems,Owner Observation
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,Owner Observation
"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",Digestive Issues,Clinical Notes
Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.,Parasites,Clinical Notes
"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea.",Parasites,Clinical Notes
Cat is losing weight but eating more than usual.,Digestive Issues,Owner Observation
Assess for potential medication side effects causing GI upset.,Digestive Issues,Clinical Notes
Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.,Ear Infections,Clinical Notes
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites,Owner Observation
My cat's ear mites seem resistant to the usual treatments.,Parasites,Owner Observation
"Dog has flea allergy, gets severe reaction from one bite.",Parasites,Owner Observation
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,Owner Observation
Provide estimate for diagnostics and potential treatments.,Digestive Issues,Clinical Notes
"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC.",Ear Infections,Clinical Notes
My older dog seems painful and slow when getting up after naps.,Mobility Problems,Owner Observation
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,Owner Observation
Diarrhea with weight loss; check thyroid levels.,Digestive Issues,Clinical Notes
"My cat brought in a mouse, now I'm worried about worms.",Parasites,Owner Observation
My dog has muscle atrophy.,Mobility Problems,Owner Observation
Dermatophytosis confirmed by fungal culture; initiate itraconazole.,Skin Irritations,Clinical Notes
Pain on tail jack/lumbosacral palpation.,Mobility Problems,Clinical Notes
Guinea pig's back legs seem paralyzed.,Mobility Problems,Owner Observation
"Cat has greasy, matted fur along its back.",Skin Irritations,Owner Observation
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites,Owner Observation
"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels).",Ear Infections,Clinical Notes
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems,Owner Observation
Dog presented with severe flea infestation and secondary anemia (PCV 22%).,Parasites,Clinical Notes
"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks).",Parasites,Clinical Notes
Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.,Skin Irritations,Clinical Notes
Prescribe fluralaner (Bravecto) for 12-week flea and tick control.,Parasites,Clinical Notes
"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow.",Mobility Problems,Clinical Notes
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections,Owner Observation
My parrot is picking at himself constantly and seems agitated.,Parasites,Owner Observation
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues,Owner Observation
Baermann fecal examination performed to detect lungworm larvae.,Parasites,Clinical Notes
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections,Owner Observation
Strict activity restriction post-operatively.,Mobility Problems,Clinical Notes
Dog has had pudding-like stool for three days straight.,Digestive Issues,Owner Observation
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections,Owner Observation
Rabbit has stopped hopping normally.,Mobility Problems,Owner Observation
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues,Owner Observation
Recommend prophylactic ear cleaning with drying agent after swimming/bathing.,Ear Infections,Clinical Notes
"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas.",Ear Infections,Clinical Notes
Contrast radiography (barium series) performed; delayed transit time noted.,Digestive Issues,Clinical Notes
Guinea pig's feet are red and swollen.,Skin Irritations,Owner Observation
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,Owner Observation
Prescribe sulfadimethoxine (Albon) for Coccidia treatment.,Parasites,Clinical Notes
Consider referral to dermatologist for allergy workup.,Ear Infections,Clinical Notes
Administer dewormer according to manufacturer's instructions.,Parasites,Clinical Notes
Consider food elimination trial if food allergy suspected.,Ear Infections,Clinical Notes
My kitten has developed scabs behind her ears.,Skin Irritations,Owner Observation
Prescribe short course of prednisone for severe inflammation.,Skin Irritations,Clinical Notes
"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media.",Ear Infections,Clinical Notes
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems,Owner Observation
My puppy came from a litter where several pups had ear mites.,Ear Infections,Owner Observation
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,Owner Observation
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems,Owner Observation
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites,Owner Observation
Advise feeding multiple small meals per day instead of one or two large meals.,Digestive Issues,Clinical Notes
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites,Owner Observation
Rule out foreign body obstruction; recommend abdominal ultrasound.,Digestive Issues,Clinical Notes
Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.,Ear Infections,Clinical Notes
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues,Owner Observation
Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.,Skin Irritations,Clinical Notes
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems,Owner Observation
Schedule follow-up fecal examination 3-4 weeks post-deworming.,Parasites,Clinical Notes
Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.,Digestive Issues,Clinical Notes
"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level.",Digestive Issues,Clinical Notes
Dog’s ears are tender and smell like yeast.,Ear Infections,Owner Observation
My dog has a rash on his belly that looks like insect bites.,Skin Irritations,Owner Observation
Tritrichomonas foetus testing recommended for chronic feline diarrhea.,Digestive Issues,Clinical Notes
My rabbit is pressing its abdomen on the floor.,Digestive Issues,Owner Observation
Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.,Parasites,Clinical Notes
Consider environmental allergy testing (serum or intradermal).,Skin Irritations,Clinical Notes
Provide structured plan for gradual increase in activity following healing period.,Mobility Problems,Clinical Notes
"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated.",Ear Infections,Clinical Notes
My dog slipped on the floor and has been limping since.,Mobility Problems,Owner Observation
Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.,Digestive Issues,Clinical Notes
Rabbit seems generally weak and floppy.,Mobility Problems,Owner Observation
"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria.",Digestive Issues,Clinical Notes
"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions.",Ear Infections,Clinical Notes
Fracture identified on radiograph; stabilize and discuss repair options.,Mobility Problems,Clinical Notes
Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.,Mobility Problems,Clinical Notes
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations,Owner Observation
Histiocytoma present on young dog; monitor for spontaneous regression.,Skin Irritations,Clinical Notes
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations,Owner Observation
Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.,Digestive Issues,Clinical Notes
Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.,Ear Infections,Clinical Notes
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues,Owner Observation
Dog has diarrhea that looks like raspberry jam.,Digestive Issues,Owner Observation
My rabbit's left ear is hanging down lower than the right.,Ear Infections,Owner Observation
"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy.",Skin Irritations,Clinical Notes
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites,Owner Observation
Emphasize finishing the full course of medication.,Ear Infections,Clinical Notes
Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.,Parasites,Clinical Notes
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites,Owner Observation
"Dog has small, raised, hairless bumps appearing on his body.",Skin Irritations,Owner Observation
My dog's ear infection came back shortly after finishing medication.,Ear Infections,Owner Observation
"Symmetrical non-inflammatory alopecia on flanks; rule out endocrine condition (hypothyroidism, hyperadrenocorticism, sex hormone imbalance).",Skin Irritations,Clinical Notes
"My dog has scabies, and the whole family is itchy now.",Parasites,Owner Observation
Cat has hair loss above the eyes.,Skin Irritations,Owner Observation
Dermacentor andersoni tick removed. Discuss RMSF/Tularemia/tick paralysis risk.,Parasites,Clinical Notes
Cat is grooming one specific spot on her leg until it's bald.,Mobility Problems,Owner Observation
My dog doesn't lift his legs as high when walking anymore.,Mobility Problems,Owner Observation
"My rabbit has flaky skin and seems very itchy, especially on its back.",Parasites,Owner Observation
Guinea pig's abdomen feels tight and bloated.,Digestive Issues,Owner Observation
"Histiocytoma observed on young dog's limb; typically benign, monitor for regression.",Skin Irritations,Clinical Notes
Dog has redness and bumps in the groin area.,Skin Irritations,Owner Observation
"Dog is biting at his hind end, near the tail.",Skin Irritations,Owner Observation
"Rabbit is over-grooming its belly, leaving the skin bare.",Skin Irritations,Owner Observation
"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended.",Parasites,Clinical Notes
Prescribe anti-diarrheal (kaolin-pectin) for symptomatic relief.,Digestive Issues,Clinical Notes
My rabbit has an abscess near the ear.,Ear Infections,Owner Observation
Pruritus and erythema on ears; topical therapy prescribed.,Skin Irritations,Clinical Notes
My guinea pig is losing hair and has crusty sores.,Parasites,Owner Observation
Kitten has lost fur on its paws.,Skin Irritations,Owner Observation
Tibial thrust clearly palpable during ambulation.,Mobility Problems,Clinical Notes
Prescribe strict cage rest (4-6 weeks) and muscle relaxants (methocarbamol) for suspected fibrocartilaginous embolism (FCE).,Mobility Problems,Clinical Notes
"Recommend feeding a low-fat, easily digestible prescription diet during recovery from pancreatitis.",Digestive Issues,Clinical Notes
Perform thorough dental examination to rule out apical abscess or oronasal fistula contributing to signs.,Ear Infections,Clinical Notes
Ensure medication is stored and handled correctly.,Ear Infections,Clinical Notes
My ferret's skin seems yellowish.,Skin Irritations,Owner Observation
Educate owner on signs of dehydration.,Digestive Issues,Clinical Notes
Recheck fecal exam after deworming treatment.,Digestive Issues,Clinical Notes
My cat gags frequently without bringing anything up.,Digestive Issues,Owner Observation
My dog consistently puts less weight on his left hind leg.,Mobility Problems,Owner Observation
"Ferret walks very stiffly, especially in the hind end.",Mobility Problems,Owner Observation
Treat ear mites with appropriate acaricide (topical or systemic). Treat all in-contact animals.,Ear Infections,Clinical Notes
Chronic ear infection; rule out hypothyroidism.,Ear Infections,Clinical Notes
Ferret is having trouble climbing.,Mobility Problems,Owner Observation
Prescribe metronidazole and recommend adding fiber (pumpkin) to diet for colitis.,Digestive Issues,Clinical Notes
Ear cytology performed to confirm mites and check for secondary infection.,Parasites,Clinical Notes
Guinea pig has tiny white lice visible in its fur.,Parasites,Owner Observation
Referral to veterinary dermatologist recommended for comprehensive allergy investigation.,Ear Infections,Clinical Notes
My rabbit has developed sores on its heels.,Mobility Problems,Owner Observation
Isolate animals with Sarcoptes or highly contagious parasites from other pets.,Parasites,Clinical Notes
Treat otodectes infestation with topical selamectin (Revolution) or moxidectin/imidacloprid (Advantage Multi). Clean ears prior.,Parasites,Clinical Notes
"My cat has dark wax, but the vet said it wasn't mites.",Ear Infections,Owner Observation
Rule out scabies based on intense pruritus and lesion distribution.,Skin Irritations,Clinical Notes
"Cat is scratching her face, causing small cuts near her eyes.",Skin Irritations,Owner Observation
My dog vomited bile this morning and isn't interested in breakfast.,Digestive Issues,Owner Observation
Dog has diarrhea that smells particularly foul.,Digestive Issues,Owner Observation
My kitten has ringworm-like circles appearing on her face.,Skin Irritations,Owner Observation
My dog shakes his head after waking up.,Ear Infections,Owner Observation
Stool culture pending; start supportive care.,Digestive Issues,Clinical Notes
Dog’s gait is wobbly and he falls often.,Mobility Problems,Owner Observation
Scaling and redness on back; medicated bath advised.,Skin Irritations,Clinical Notes
Treat all animals in contact with sarcoptic mange patient.,Parasites,Clinical Notes
"Cat cries and flinches if I try to look in her ears, they look black inside.",Parasites,Owner Observation
Rabbit presents with severe crusting otitis externa due to Psoroptes cuniculi infestation.,Ear Infections,Clinical Notes
Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.,Skin Irritations,Clinical Notes
Dog is constantly shaking his head and scratching his ears raw.,Skin Irritations,Owner Observation
"My dog has bare patches of skin and intense itching, worse at night.",Parasites,Owner Observation
Abdominocentesis performed; fluid analysis pending.,Digestive Issues,Clinical Notes
My dog's ear infection seems worse in humid weather.,Ear Infections,Owner Observation
"Rabbit has neurological issues (head tilt, weakness) from E. cuniculi.",Mobility Problems,Owner Observation
"My cat is regurgitating food (undigested, tube-shaped) right after eating.",Digestive Issues,Owner Observation
My canary has crusty scales on its legs and feet.,Parasites,Owner Observation
Flea bite hypersensitivity is primary differential for caudal dorsal pruritus.,Skin Irritations,Clinical Notes
Palliative radiation therapy discussed for bone pain.,Mobility Problems,Clinical Notes
Ferret hasn't eaten today and vomited greenish fluid.,Digestive Issues,Owner Observation
My dog has developed a large fluid-filled swelling (cyst?) under the skin.,Skin Irritations,Owner Observation
"Recommend easily digestible, low-fat diet for recovery.",Digestive Issues,Clinical Notes
"Provided post-operative instructions for aural hematoma repair (e.g., drain care, E-collar use).",Ear Infections,Clinical Notes
Heavy burden of flea dirt noted on exam. Diagnosis: Ctenocephalides felis infestation.,Parasites,Clinical Notes
My cat has Horner's syndrome related to an ear infection.,Ear Infections,Owner Observation
Referral to neurologist for MRI and potential surgical decompression for IVDD.,Mobility Problems,Clinical Notes
"Dog has large volume, greasy, foul-smelling stools.",Digestive Issues,Owner Observation
My rabbit's appetite has been poor for several days.,Digestive Issues,Owner Observation
Dog's ears are greasy and the hair around them is matted.,Ear Infections,Owner Observation
Dog has diarrhea with visible pieces of undigested kibble.,Digestive Issues,Owner Observation
Psoroptes cuniculi (rabbit ear mite) infestation causing otitis externa.,Parasites,Clinical Notes
My dog has food allergies that trigger ear infections.,Ear Infections,Owner Observation
Rectal palpation reveals firm mass; biopsy recommended.,Digestive Issues,Clinical Notes
Reduced range of motion and crepitus noted in bilateral hips; suspect osteoarthritis (OA)/degenerative joint condition (DJD).,Mobility Problems,Clinical Notes
My dog has a torn ACL (CCL) and needs surgery.,Mobility Problems,Owner Observation
Hemorrhagic gastroenteritis (HGE) suspected due to 'raspberry jam' stool and elevated PCV.,Digestive Issues,Clinical Notes
My dog tested positive for Anaplasmosis after a tick bite.,Parasites,Owner Observation
"There's a moist, red, sore area on my dog's flank that appeared suddenly.",Skin Irritations,Owner Observation
Ferret yelps when his ears are examined.,Ear Infections,Owner Observation
"Puppy has intermittent diarrhea, sometimes normal, sometimes loose.",Digestive Issues,Owner Observation
Recurrent otitis likely secondary to underlying food allergy. Initiate diet trial.,Ear Infections,Clinical Notes
"Trixacarus caviae infestation in guinea pig causing intense pruritus, scaling, seizures. Treat with ivermectin/selamectin.",Parasites,Clinical Notes
Consider empirical deworming with broad-spectrum anthelmintic.,Digestive Issues,Clinical Notes
Pain elicited on biceps tendon palpation and shoulder flexion.,Mobility Problems,Clinical Notes
Amblyomma americanum tick removed; advise monitoring for signs of Ehrlichiosis.,Parasites,Clinical Notes
Guinea pig seems unable to move properly after being dropped.,Mobility Problems,Owner Observation
"Rabbit isn't eating pellets, only picking at greens.",Digestive Issues,Owner Observation
My dog has a rash after swimming in the lake.,Skin Irritations,Owner Observation
Provide client handout detailing comprehensive flea control strategy (pet and environment).,Parasites,Clinical Notes
Cat has created raw spots and scabs around her ears from scratching.,Ear Infections,Owner Observation
My cat seems to have inflammation deep within the ear.,Ear Infections,Owner Observation
Document date of tick removal and location.,Parasites,Clinical Notes
Canine pancreatic lipase (cPL) snap test positive. Consistent with pancreatitis.,Digestive Issues,Clinical Notes
"Cat is constantly scratching around the neck, causing hair loss.",Skin Irritations,Owner Observation
My rabbit has crusty buildup inside its ears.,Ear Infections,Owner Observation
"Recommend initiation of monthly isoxazoline product (e.g., Bravecto, Nexgard, Simparica) for flea/tick control.",Parasites,Clinical Notes
"Crusting lesions on pinnal margins and pressure points; consider vasculitis, pemphigus, zinc-responsive dermatosis.",Skin Irritations,Clinical Notes
Puppy's ears seem hot to the touch.,Ear Infections,Owner Observation
Vomiting post-meal; test for food intolerance.,Digestive Issues,Clinical Notes
"Guinea pig has mange mites, causing severe itching and seizures.",Parasites,Owner Observation
Melena noted on rectal exam; suggests upper GI bleeding.,Digestive Issues,Clinical Notes
Emphasize importance of removing feces from yard daily to break parasite life cycles.,Parasites,Clinical Notes
"Dog has intense itching episodes, especially at night.",Skin Irritations,Owner Observation
"Dog keeps shaking his head, and the inside of his ear flaps are red.",Skin Irritations,Owner Observation
Advise owner that Sarcoptes mites can survive off-host for a limited time.,Parasites,Clinical Notes
Ensure owner understands frequency and duration of deworming medication.,Parasites,Clinical Notes
My rabbit is biting at its flank.,Skin Irritations,Owner Observation
My rabbit has sores developing on the soles of its feet.,Parasites,Owner Observation
"Examine contralateral ear; mild inflammation noted, recommend starting treatment AU.",Ear Infections,Clinical Notes
Parvovirus antigen test negative.,Digestive Issues,Clinical Notes
Vomiting and lethargy; check for intoxication.,Digestive Issues,Clinical Notes
Rabbit has lost balance.,Ear Infections,Owner Observation
Provide client handout on proper tick removal technique and importance of prevention.,Parasites,Clinical Notes
My dog's elbow/hock seems to stick out at an odd angle.,Mobility Problems,Owner Observation
"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis.",Ear Infections,Clinical Notes
Portosystemic shunt considered in young animal with poor growth and GI signs.,Digestive Issues,Clinical Notes
Perform trichogram (hair pluck exam) to look for lice eggs (nits) or Cheyletiella.,Parasites,Clinical Notes
Cat has developed facial nerve paralysis (droopy face) on one side.,Ear Infections,Owner Observation
Cat vomits bile mostly in the early morning before breakfast.,Digestive Issues,Owner Observation
"Advise meticulous hand hygiene and prompt feces removal to minimize zoonotic risk (e.g., roundworms, hookworms).",Parasites,Clinical Notes
"Dog has sudden onset of watery, projectile diarrhea.",Digestive Issues,Owner Observation
Discuss long-term management plan for chronic conditions.,Mobility Problems,Clinical Notes
Address any owner financial concerns and discuss alternative treatment plans if necessary.,Ear Infections,Clinical Notes
My cat has redness and swelling of the chin.,Skin Irritations,Owner Observation
Myasthenia gravis diagnosed via Tensilon test or ACh receptor antibody titer.,Mobility Problems,Clinical Notes
"Superficial necrolytic dermatitis (hepatocutaneous syndrome) suspected; check liver values/ultrasound, amino acids.",Skin Irritations,Clinical Notes
Hypertrophic osteodystrophy (HOD) suspected in young growing dog with fever and metaphyseal swelling/pain.,Mobility Problems,Clinical Notes
My guinea pig's droppings are very small and dry.,Digestive Issues,Owner Observation
"Cat has a greasy feel to her coat, especially near the tail base.",Skin Irritations,Owner Observation
