text,condition,record_type,clean_text
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations,Owner Observation,"The dog's armpits are dark, thickened, and itchy."
"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin.",Skin Irritations,Clinical Notes,"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin."
"Rule out toxin ingestion (plants, chemicals, medications).",Digestive Issues,Clinical Notes,"Rule out toxin ingestion (plants, chemicals, medications)."
"Found a long, flat, white worm in my dog's fresh stool.",Parasites,Owner Observation,"Found a long, flat, white worm in my dog's fresh stool."
"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis.",Digestive Issues,Clinical Notes,"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis."
My cat has inflamed nail beds.,Skin Irritations,Owner Observation,My cat has inflamed nail beds.
My puppy seems to get an upset stomach from car rides.,Digestive Issues,Owner Observation,My puppy seems to get an upset stomach from car rides.
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations,Owner Observation,My dog has thickened skin folds around his muzzle that smell bad.
Advise monthly heartworm prevention year-round.,Parasites,Clinical Notes,Advise monthly heartworm prevention year-round.
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations,Owner Observation,My rabbit's dewlap is constantly wet and the skin underneath is red.
Puppy has diarrhea after switching foods too quickly.,Digestive Issues,Owner Observation,Puppy has diarrhea after switching foods too quickly.
My dog has a skin infection secondary to flea bites.,Parasites,Owner Observation,My dog has a skin infection secondary to flea bites.
Color dilution alopecia present in blue Doberman; manage secondary pyoderma.,Skin Irritations,Clinical Notes,Color dilution alopecia present in blue Doberman; manage secondary pyoderma.
My cockatiel is listless and has abnormal droppings.,Parasites,Owner Observation,My cockatiel is listless and has abnormal droppings.
Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.,Mobility Problems,Clinical Notes,Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.
Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.,Parasites,Clinical Notes,Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.
My cat's hearing seems diminished.,Ear Infections,Owner Observation,My cat's hearing seems diminished.
"Ferret has pale gums, possibly flea-induced anemia.",Parasites,Owner Observation,"Ferret has pale gums, possibly flea-induced anemia."
Cat vomited 5 times in the past few hours.,Digestive Issues,Owner Observation,Cat vomited 5 times in the past few hours.
Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.,Parasites,Clinical Notes,Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.
The ear canal seems narrowed and swollen shut.,Ear Infections,Owner Observation,The ear canal seems narrowed and swollen shut.
My cat vomited what looked like a roundworm.,Digestive Issues,Owner Observation,My cat vomited what looked like a roundworm.
Cat has nerve damage affecting her leg.,Mobility Problems,Owner Observation,Cat has nerve damage affecting her leg.
Long-term maintenance therapy with weekly ear cleaner/medication may be required.,Ear Infections,Clinical Notes,Long-term maintenance therapy with weekly ear cleaner/medication may be required.
"Fecal score: 6/7 (soft, unformed).",Digestive Issues,Clinical Notes,"Fecal score: 6/7 (soft, unformed)."
Recommend probiotics (FortiFlora) to support gut health.,Digestive Issues,Clinical Notes,Recommend probiotics (FortiFlora) to support gut health.
Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.,Parasites,Clinical Notes,Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.
"Ferret has dark, waxy debris in ears.",Ear Infections,Owner Observation,"Ferret has dark, waxy debris in ears."
"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics.",Skin Irritations,Clinical Notes,"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics."
Motility disorder suspected; consider trial with cisapride.,Digestive Issues,Clinical Notes,Motility disorder suspected; consider trial with cisapride.
Ferret is tilting its head.,Ear Infections,Owner Observation,Ferret is tilting its head.
CSF tap performed; analysis pending.,Mobility Problems,Clinical Notes,CSF tap performed; analysis pending.
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations,Owner Observation,"My dog's skin has a generally unpleasant, strong odor."
My dog has water trapped in his ear after a bath.,Ear Infections,Owner Observation,My dog has water trapped in his ear after a bath.
Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.,Parasites,Clinical Notes,Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.
Administer opioid analgesic (methadone) for severe abdominal pain.,Digestive Issues,Clinical Notes,Administer opioid analgesic (methadone) for severe abdominal pain.
"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies.",Skin Irritations,Clinical Notes,"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies."
Auscultation reveals decreased borborygmi; suggestive of ileus.,Digestive Issues,Clinical Notes,Auscultation reveals decreased borborygmi; suggestive of ileus.
Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.,Mobility Problems,Clinical Notes,Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.
Excoriations on tail; rule out flea hypersensitivity.,Skin Irritations,Clinical Notes,Excoriations on tail; rule out flea hypersensitivity.
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,Owner Observation,"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite."
Cytauxzoon felis identified on blood smear; grave prognosis.,Parasites,Clinical Notes,Cytauxzoon felis identified on blood smear; grave prognosis.
"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme.",Parasites,Clinical Notes,"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme."
Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.,Skin Irritations,Clinical Notes,Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.
Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.,Parasites,Clinical Notes,Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.
My dog has persistent itching despite flea treatment.,Skin Irritations,Owner Observation,My dog has persistent itching despite flea treatment.
Rabbit is scratching vigorously at the base of its ears.,Ear Infections,Owner Observation,Rabbit is scratching vigorously at the base of its ears.
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,Owner Observation,Cat has lost hair around the outside of her ears from scratching.
Monitor body weight and body condition score.,Digestive Issues,Clinical Notes,Monitor body weight and body condition score.
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations,Owner Observation,Guinea pig has sores on the bottom of its feet (bumblefoot).
Treat secondary pyoderma before pursuing allergy diagnostics.,Skin Irritations,Clinical Notes,Treat secondary pyoderma before pursuing allergy diagnostics.
My guinea pig has developed scaly patches around its eyes.,Skin Irritations,Owner Observation,My guinea pig has developed scaly patches around its eyes.
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues,Owner Observation,"My dog ate greasy leftovers, now has painful belly and vomiting."
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections,Owner Observation,"Dog's ears look greasy, and the fur below them is stained and sticky."
Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.,Mobility Problems,Clinical Notes,Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.
Hamster has hair loss and redness on its underside.,Skin Irritations,Owner Observation,Hamster has hair loss and redness on its underside.
Ferret's ears seem painful to touch.,Ear Infections,Owner Observation,Ferret's ears seem painful to touch.
Heartworm antigen test positive; stage condition and plan treatment.,Parasites,Clinical Notes,Heartworm antigen test positive; stage condition and plan treatment.
Heartworm antigen test negative. Microfilaria test negative.,Parasites,Clinical Notes,Heartworm antigen test negative. Microfilaria test negative.
My dog's ear infection requires long-term management.,Ear Infections,Owner Observation,My dog's ear infection requires long-term management.
Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.,Digestive Issues,Clinical Notes,Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.
Cat has stopped perching in high places.,Mobility Problems,Owner Observation,Cat has stopped perching in high places.
"Discuss importance of addressing primary factors (allergies, conformation) for long-term control.",Ear Infections,Clinical Notes,"Discuss importance of addressing primary factors (allergies, conformation) for long-term control."
Rule out hypothyroidism as cause of dry skin and alopecia.,Skin Irritations,Clinical Notes,Rule out hypothyroidism as cause of dry skin and alopecia.
Rabbit has hair loss and scaling around the eyes.,Skin Irritations,Owner Observation,Rabbit has hair loss and scaling around the eyes.
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,Owner Observation,"Cat's claws are very long, maybe it hurts to use the scratching post."
"Gait analysis performed: observe walk, trot, turning, stairs.",Mobility Problems,Clinical Notes,"Gait analysis performed: observe walk, trot, turning, stairs."
"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management).",Ear Infections,Clinical Notes,"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management)."
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues,Owner Observation,My dog is eating grass obsessively and then vomiting foam.
My guinea pig has bald spots appearing behind its ears.,Skin Irritations,Owner Observation,My guinea pig has bald spots appearing behind its ears.
Monitor for decubital ulcers in recumbent patients.,Mobility Problems,Clinical Notes,Monitor for decubital ulcers in recumbent patients.
Cat cries out in pain when yawning or eating.,Ear Infections,Owner Observation,Cat cries out in pain when yawning or eating.
"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent).",Mobility Problems,Clinical Notes,"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent)."
Contact dermatitis suspected on sparsely haired ventral abdomen.,Skin Irritations,Clinical Notes,Contact dermatitis suspected on sparsely haired ventral abdomen.
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues,Owner Observation,My dog's abdomen became suddenly taut and enlarged.
Cat struggles to climb onto the sofa.,Mobility Problems,Owner Observation,Cat struggles to climb onto the sofa.
My hamster has diarrhea and isn't acting like himself.,Digestive Issues,Owner Observation,My hamster has diarrhea and isn't acting like himself.
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,Owner Observation,Cat has crusty sores on the edges of her ear flaps.
Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,Skin Irritations,Clinical Notes,Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.
My dog yelps when jumping off the couch.,Mobility Problems,Owner Observation,My dog yelps when jumping off the couch.
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,Owner Observation,Cat keeps rubbing her head/ears against the furniture.
"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",Digestive Issues,Clinical Notes,"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting."
Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.,Parasites,Clinical Notes,Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.
"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea.",Parasites,Clinical Notes,"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea."
Cat is losing weight but eating more than usual.,Digestive Issues,Owner Observation,Cat is losing weight but eating more than usual.
Assess for potential medication side effects causing GI upset.,Digestive Issues,Clinical Notes,Assess for potential medication side effects causing GI upset.
Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.,Ear Infections,Clinical Notes,Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites,Owner Observation,"Dog has bumps and scabs, vet suspected flea allergy dermatitis."
My cat's ear mites seem resistant to the usual treatments.,Parasites,Owner Observation,My cat's ear mites seem resistant to the usual treatments.
"Dog has flea allergy, gets severe reaction from one bite.",Parasites,Owner Observation,"Dog has flea allergy, gets severe reaction from one bite."
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,Owner Observation,My cat is drooling excessively and pawing at her mouth.
Provide estimate for diagnostics and potential treatments.,Digestive Issues,Clinical Notes,Provide estimate for diagnostics and potential treatments.
"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC.",Ear Infections,Clinical Notes,"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC."
My older dog seems painful and slow when getting up after naps.,Mobility Problems,Owner Observation,My older dog seems painful and slow when getting up after naps.
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,Owner Observation,"My kitten has a potbelly and isn't growing well, the breeder said she might have worms."
Diarrhea with weight loss; check thyroid levels.,Digestive Issues,Clinical Notes,Diarrhea with weight loss; check thyroid levels.
"My cat brought in a mouse, now I'm worried about worms.",Parasites,Owner Observation,"My cat brought in a mouse, now I'm worried about worms."
My dog has muscle atrophy.,Mobility Problems,Owner Observation,My dog has muscle atrophy.
Dermatophytosis confirmed by fungal culture; initiate itraconazole.,Skin Irritations,Clinical Notes,Dermatophytosis confirmed by fungal culture; initiate itraconazole.
Pain on tail jack/lumbosacral palpation.,Mobility Problems,Clinical Notes,Pain on tail jack/lumbosacral palpation.
Guinea pig's back legs seem paralyzed.,Mobility Problems,Owner Observation,Guinea pig's back legs seem paralyzed.
"Cat has greasy, matted fur along its back.",Skin Irritations,Owner Observation,"Cat has greasy, matted fur along its back."
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites,Owner Observation,"My ferret is scratching and has hair loss, especially around the shoulders."
"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels).",Ear Infections,Clinical Notes,"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels)."
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems,Owner Observation,My dog's front leg seems to bow outwards at the wrist.
Dog presented with severe flea infestation and secondary anemia (PCV 22%).,Parasites,Clinical Notes,Dog presented with severe flea infestation and secondary anemia (PCV 22%).
"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks).",Parasites,Clinical Notes,"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks)."
Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.,Skin Irritations,Clinical Notes,Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.
Prescribe fluralaner (Bravecto) for 12-week flea and tick control.,Parasites,Clinical Notes,Prescribe fluralaner (Bravecto) for 12-week flea and tick control.
"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow.",Mobility Problems,Clinical Notes,"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow."
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections,Owner Observation,Dog has redness and swelling spreading onto the outside of the ear flap.
My parrot is picking at himself constantly and seems agitated.,Parasites,Owner Observation,My parrot is picking at himself constantly and seems agitated.
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues,Owner Observation,Hamster is dehydrated (skin stays tented when pinched).
Baermann fecal examination performed to detect lungworm larvae.,Parasites,Clinical Notes,Baermann fecal examination performed to detect lungworm larvae.
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections,Owner Observation,My dog's breed (Cocker Spaniel) is prone to ear infections.
Strict activity restriction post-operatively.,Mobility Problems,Clinical Notes,Strict activity restriction post-operatively.
Dog has had pudding-like stool for three days straight.,Digestive Issues,Owner Observation,Dog has had pudding-like stool for three days straight.
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections,Owner Observation,Dog likely has 'swimmer's ear' after dock diving.
Rabbit has stopped hopping normally.,Mobility Problems,Owner Observation,Rabbit has stopped hopping normally.
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues,Owner Observation,"Dog keeps stretching into a 'play bow' position, seems painful."
Recommend prophylactic ear cleaning with drying agent after swimming/bathing.,Ear Infections,Clinical Notes,Recommend prophylactic ear cleaning with drying agent after swimming/bathing.
"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas.",Ear Infections,Clinical Notes,"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas."
Contrast radiography (barium series) performed; delayed transit time noted.,Digestive Issues,Clinical Notes,Contrast radiography (barium series) performed; delayed transit time noted.
Guinea pig's feet are red and swollen.,Skin Irritations,Owner Observation,Guinea pig's feet are red and swollen.
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,Owner Observation,My cat's ear infection isn't responding to the current antibiotic drops.
Prescribe sulfadimethoxine (Albon) for Coccidia treatment.,Parasites,Clinical Notes,Prescribe sulfadimethoxine (Albon) for Coccidia treatment.
Consider referral to dermatologist for allergy workup.,Ear Infections,Clinical Notes,Consider referral to dermatologist for allergy workup.
Administer dewormer according to manufacturer's instructions.,Parasites,Clinical Notes,Administer dewormer according to manufacturer's instructions.
Consider food elimination trial if food allergy suspected.,Ear Infections,Clinical Notes,Consider food elimination trial if food allergy suspected.
My kitten has developed scabs behind her ears.,Skin Irritations,Owner Observation,My kitten has developed scabs behind her ears.
Prescribe short course of prednisone for severe inflammation.,Skin Irritations,Clinical Notes,Prescribe short course of prednisone for severe inflammation.
"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media.",Ear Infections,Clinical Notes,"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media."
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems,Owner Observation,My dog's limp seems to disappear during intense play but returns afterward.
My puppy came from a litter where several pups had ear mites.,Ear Infections,Owner Observation,My puppy came from a litter where several pups had ear mites.
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,Owner Observation,"My cat has small, millet-seed like scabs all over its body."
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems,Owner Observation,My rabbit has sores on its hocks from sitting abnormally.
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites,Owner Observation,My dog tested positive for Ehrlichiosis on his annual screen.
Advise feeding multiple small meals per day instead of one or two large meals.,Digestive Issues,Clinical Notes,Advise feeding multiple small meals per day instead of one or two large meals.
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites,Owner Observation,"Dog has whipworms according to the vet, needs specific dewormer."
Rule out foreign body obstruction; recommend abdominal ultrasound.,Digestive Issues,Clinical Notes,Rule out foreign body obstruction; recommend abdominal ultrasound.
Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.,Ear Infections,Clinical Notes,Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues,Owner Observation,Guinea pig has soft droppings sticking to its rear end.
Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.,Skin Irritations,Clinical Notes,Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems,Owner Observation,My dog sometimes skips for a step or two on his back leg while trotting.
Schedule follow-up fecal examination 3-4 weeks post-deworming.,Parasites,Clinical Notes,Schedule follow-up fecal examination 3-4 weeks post-deworming.
Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.,Digestive Issues,Clinical Notes,Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.
"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level.",Digestive Issues,Clinical Notes,"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level."
Dog’s ears are tender and smell like yeast.,Ear Infections,Owner Observation,Dog’s ears are tender and smell like yeast.
My dog has a rash on his belly that looks like insect bites.,Skin Irritations,Owner Observation,My dog has a rash on his belly that looks like insect bites.
Tritrichomonas foetus testing recommended for chronic feline diarrhea.,Digestive Issues,Clinical Notes,Tritrichomonas foetus testing recommended for chronic feline diarrhea.
My rabbit is pressing its abdomen on the floor.,Digestive Issues,Owner Observation,My rabbit is pressing its abdomen on the floor.
Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.,Parasites,Clinical Notes,Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.
Consider environmental allergy testing (serum or intradermal).,Skin Irritations,Clinical Notes,Consider environmental allergy testing (serum or intradermal).
Provide structured plan for gradual increase in activity following healing period.,Mobility Problems,Clinical Notes,Provide structured plan for gradual increase in activity following healing period.
"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated.",Ear Infections,Clinical Notes,"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated."
My dog slipped on the floor and has been limping since.,Mobility Problems,Owner Observation,My dog slipped on the floor and has been limping since.
Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.,Digestive Issues,Clinical Notes,Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.
Rabbit seems generally weak and floppy.,Mobility Problems,Owner Observation,Rabbit seems generally weak and floppy.
"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria.",Digestive Issues,Clinical Notes,"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria."
"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions.",Ear Infections,Clinical Notes,"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions."
Fracture identified on radiograph; stabilize and discuss repair options.,Mobility Problems,Clinical Notes,Fracture identified on radiograph; stabilize and discuss repair options.
Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.,Mobility Problems,Clinical Notes,Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations,Owner Observation,"Dog has a large, weeping sore on his neck that came up fast."
Histiocytoma present on young dog; monitor for spontaneous regression.,Skin Irritations,Clinical Notes,Histiocytoma present on young dog; monitor for spontaneous regression.
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations,Owner Observation,Rabbit has dandruff concentrated over its shoulders.
Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.,Digestive Issues,Clinical Notes,Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.
Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.,Ear Infections,Clinical Notes,Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues,Owner Observation,"My dog's stomach is rumbling loudly, and he keeps licking the air."
Dog has diarrhea that looks like raspberry jam.,Digestive Issues,Owner Observation,Dog has diarrhea that looks like raspberry jam.
My rabbit's left ear is hanging down lower than the right.,Ear Infections,Owner Observation,My rabbit's left ear is hanging down lower than the right.
"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy.",Skin Irritations,Clinical Notes,"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy."
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites,Owner Observation,"My dog is scratching constantly, and I found tiny brown bugs crawling on him."
Emphasize finishing the full course of medication.,Ear Infections,Clinical Notes,Emphasize finishing the full course of medication.
Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.,Parasites,Clinical Notes,Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites,Owner Observation,"Dog has flea allergy dermatitis, reacts severely to flea saliva."
