text,condition,record_type,clean_text
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,Owner Observation,Cat has lost hair around the outside of her ears from scratching.
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations,Owner Observation,Guinea pig has sores on the bottom of its feet (bumblefoot).
My guinea pig has developed scaly patches around its eyes.,Skin Irritations,Owner Observation,My guinea pig has developed scaly patches around its eyes.
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues,Owner Observation,"My dog ate greasy leftovers, now has painful belly and vomiting."
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections,Owner Observation,"Dog's ears look greasy, and the fur below them is stained and sticky."
Hamster has hair loss and redness on its underside.,Skin Irritations,Owner Observation,Hamster has hair loss and redness on its underside.
Ferret's ears seem painful to touch.,Ear Infections,Owner Observation,Ferret's ears seem painful to touch.
My dog's ear infection requires long-term management.,Ear Infections,Owner Observation,My dog's ear infection requires long-term management.
Cat has stopped perching in high places.,Mobility Problems,Owner Observation,Cat has stopped perching in high places.
Rabbit has hair loss and scaling around the eyes.,Skin Irritations,Owner Observation,Rabbit has hair loss and scaling around the eyes.
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,Owner Observation,"Cat's claws are very long, maybe it hurts to use the scratching post."
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues,Owner Observation,My dog is eating grass obsessively and then vomiting foam.
My guinea pig has bald spots appearing behind its ears.,Skin Irritations,Owner Observation,My guinea pig has bald spots appearing behind its ears.
Cat cries out in pain when yawning or eating.,Ear Infections,Owner Observation,Cat cries out in pain when yawning or eating.
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues,Owner Observation,My dog's abdomen became suddenly taut and enlarged.
Cat struggles to climb onto the sofa.,Mobility Problems,Owner Observation,Cat struggles to climb onto the sofa.
My hamster has diarrhea and isn't acting like himself.,Digestive Issues,Owner Observation,My hamster has diarrhea and isn't acting like himself.
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,Owner Observation,Cat has crusty sores on the edges of her ear flaps.
My dog yelps when jumping off the couch.,Mobility Problems,Owner Observation,My dog yelps when jumping off the couch.
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,Owner Observation,Cat keeps rubbing her head/ears against the furniture.
Cat is losing weight but eating more than usual.,Digestive Issues,Owner Observation,Cat is losing weight but eating more than usual.
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites,Owner Observation,"Dog has bumps and scabs, vet suspected flea allergy dermatitis."
My cat's ear mites seem resistant to the usual treatments.,Parasites,Owner Observation,My cat's ear mites seem resistant to the usual treatments.
"Dog has flea allergy, gets severe reaction from one bite.",Parasites,Owner Observation,"Dog has flea allergy, gets severe reaction from one bite."
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,Owner Observation,My cat is drooling excessively and pawing at her mouth.
My older dog seems painful and slow when getting up after naps.,Mobility Problems,Owner Observation,My older dog seems painful and slow when getting up after naps.
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,Owner Observation,"My kitten has a potbelly and isn't growing well, the breeder said she might have worms."
"My cat brought in a mouse, now I'm worried about worms.",Parasites,Owner Observation,"My cat brought in a mouse, now I'm worried about worms."
My dog has muscle atrophy.,Mobility Problems,Owner Observation,My dog has muscle atrophy.
Guinea pig's back legs seem paralyzed.,Mobility Problems,Owner Observation,Guinea pig's back legs seem paralyzed.
"Cat has greasy, matted fur along its back.",Skin Irritations,Owner Observation,"Cat has greasy, matted fur along its back."
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites,Owner Observation,"My ferret is scratching and has hair loss, especially around the shoulders."
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems,Owner Observation,My dog's front leg seems to bow outwards at the wrist.
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections,Owner Observation,Dog has redness and swelling spreading onto the outside of the ear flap.
My parrot is picking at himself constantly and seems agitated.,Parasites,Owner Observation,My parrot is picking at himself constantly and seems agitated.
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues,Owner Observation,Hamster is dehydrated (skin stays tented when pinched).
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections,Owner Observation,My dog's breed (Cocker Spaniel) is prone to ear infections.
Dog has had pudding-like stool for three days straight.,Digestive Issues,Owner Observation,Dog has had pudding-like stool for three days straight.
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections,Owner Observation,Dog likely has 'swimmer's ear' after dock diving.
Rabbit has stopped hopping normally.,Mobility Problems,Owner Observation,Rabbit has stopped hopping normally.
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues,Owner Observation,"Dog keeps stretching into a 'play bow' position, seems painful."
Guinea pig's feet are red and swollen.,Skin Irritations,Owner Observation,Guinea pig's feet are red and swollen.
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,Owner Observation,My cat's ear infection isn't responding to the current antibiotic drops.
My kitten has developed scabs behind her ears.,Skin Irritations,Owner Observation,My kitten has developed scabs behind her ears.
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems,Owner Observation,My dog's limp seems to disappear during intense play but returns afterward.
My puppy came from a litter where several pups had ear mites.,Ear Infections,Owner Observation,My puppy came from a litter where several pups had ear mites.
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,Owner Observation,"My cat has small, millet-seed like scabs all over its body."
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems,Owner Observation,My rabbit has sores on its hocks from sitting abnormally.
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites,Owner Observation,My dog tested positive for Ehrlichiosis on his annual screen.
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites,Owner Observation,"Dog has whipworms according to the vet, needs specific dewormer."
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues,Owner Observation,Guinea pig has soft droppings sticking to its rear end.
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems,Owner Observation,My dog sometimes skips for a step or two on his back leg while trotting.
Dog’s ears are tender and smell like yeast.,Ear Infections,Owner Observation,Dog’s ears are tender and smell like yeast.
My dog has a rash on his belly that looks like insect bites.,Skin Irritations,Owner Observation,My dog has a rash on his belly that looks like insect bites.
My rabbit is pressing its abdomen on the floor.,Digestive Issues,Owner Observation,My rabbit is pressing its abdomen on the floor.
My dog slipped on the floor and has been limping since.,Mobility Problems,Owner Observation,My dog slipped on the floor and has been limping since.
Rabbit seems generally weak and floppy.,Mobility Problems,Owner Observation,Rabbit seems generally weak and floppy.
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations,Owner Observation,"Dog has a large, weeping sore on his neck that came up fast."
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations,Owner Observation,Rabbit has dandruff concentrated over its shoulders.
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues,Owner Observation,"My dog's stomach is rumbling loudly, and he keeps licking the air."
Dog has diarrhea that looks like raspberry jam.,Digestive Issues,Owner Observation,Dog has diarrhea that looks like raspberry jam.
My rabbit's left ear is hanging down lower than the right.,Ear Infections,Owner Observation,My rabbit's left ear is hanging down lower than the right.
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites,Owner Observation,"My dog is scratching constantly, and I found tiny brown bugs crawling on him."
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites,Owner Observation,"Dog has flea allergy dermatitis, reacts severely to flea saliva."
"Dog has small, raised, hairless bumps appearing on his body.",Skin Irritations,Owner Observation,"Dog has small, raised, hairless bumps appearing on his body."
My dog's ear infection came back shortly after finishing medication.,Ear Infections,Owner Observation,My dog's ear infection came back shortly after finishing medication.
"My dog has scabies, and the whole family is itchy now.",Parasites,Owner Observation,"My dog has scabies, and the whole family is itchy now."
Cat has hair loss above the eyes.,Skin Irritations,Owner Observation,Cat has hair loss above the eyes.
Cat is grooming one specific spot on her leg until it's bald.,Mobility Problems,Owner Observation,Cat is grooming one specific spot on her leg until it's bald.
My dog doesn't lift his legs as high when walking anymore.,Mobility Problems,Owner Observation,My dog doesn't lift his legs as high when walking anymore.
"My rabbit has flaky skin and seems very itchy, especially on its back.",Parasites,Owner Observation,"My rabbit has flaky skin and seems very itchy, especially on its back."
Guinea pig's abdomen feels tight and bloated.,Digestive Issues,Owner Observation,Guinea pig's abdomen feels tight and bloated.
Dog has redness and bumps in the groin area.,Skin Irritations,Owner Observation,Dog has redness and bumps in the groin area.
"Dog is biting at his hind end, near the tail.",Skin Irritations,Owner Observation,"Dog is biting at his hind end, near the tail."
"Rabbit is over-grooming its belly, leaving the skin bare.",Skin Irritations,Owner Observation,"Rabbit is over-grooming its belly, leaving the skin bare."
My rabbit has an abscess near the ear.,Ear Infections,Owner Observation,My rabbit has an abscess near the ear.
My guinea pig is losing hair and has crusty sores.,Parasites,Owner Observation,My guinea pig is losing hair and has crusty sores.
Kitten has lost fur on its paws.,Skin Irritations,Owner Observation,Kitten has lost fur on its paws.
My ferret's skin seems yellowish.,Skin Irritations,Owner Observation,My ferret's skin seems yellowish.
My cat gags frequently without bringing anything up.,Digestive Issues,Owner Observation,My cat gags frequently without bringing anything up.
My dog consistently puts less weight on his left hind leg.,Mobility Problems,Owner Observation,My dog consistently puts less weight on his left hind leg.
"Ferret walks very stiffly, especially in the hind end.",Mobility Problems,Owner Observation,"Ferret walks very stiffly, especially in the hind end."
Ferret is having trouble climbing.,Mobility Problems,Owner Observation,Ferret is having trouble climbing.
Guinea pig has tiny white lice visible in its fur.,Parasites,Owner Observation,Guinea pig has tiny white lice visible in its fur.
My rabbit has developed sores on its heels.,Mobility Problems,Owner Observation,My rabbit has developed sores on its heels.
"My cat has dark wax, but the vet said it wasn't mites.",Ear Infections,Owner Observation,"My cat has dark wax, but the vet said it wasn't mites."
"Cat is scratching her face, causing small cuts near her eyes.",Skin Irritations,Owner Observation,"Cat is scratching her face, causing small cuts near her eyes."
My dog vomited bile this morning and isn't interested in breakfast.,Digestive Issues,Owner Observation,My dog vomited bile this morning and isn't interested in breakfast.
Dog has diarrhea that smells particularly foul.,Digestive Issues,Owner Observation,Dog has diarrhea that smells particularly foul.
My kitten has ringworm-like circles appearing on her face.,Skin Irritations,Owner Observation,My kitten has ringworm-like circles appearing on her face.
My dog shakes his head after waking up.,Ear Infections,Owner Observation,My dog shakes his head after waking up.
Dog’s gait is wobbly and he falls often.,Mobility Problems,Owner Observation,Dog’s gait is wobbly and he falls often.
"Cat cries and flinches if I try to look in her ears, they look black inside.",Parasites,Owner Observation,"Cat cries and flinches if I try to look in her ears, they look black inside."
Dog is constantly shaking his head and scratching his ears raw.,Skin Irritations,Owner Observation,Dog is constantly shaking his head and scratching his ears raw.
"My dog has bare patches of skin and intense itching, worse at night.",Parasites,Owner Observation,"My dog has bare patches of skin and intense itching, worse at night."
My dog's ear infection seems worse in humid weather.,Ear Infections,Owner Observation,My dog's ear infection seems worse in humid weather.
"Rabbit has neurological issues (head tilt, weakness) from E. cuniculi.",Mobility Problems,Owner Observation,"Rabbit has neurological issues (head tilt, weakness) from E. cuniculi."
"My cat is regurgitating food (undigested, tube-shaped) right after eating.",Digestive Issues,Owner Observation,"My cat is regurgitating food (undigested, tube-shaped) right after eating."
My canary has crusty scales on its legs and feet.,Parasites,Owner Observation,My canary has crusty scales on its legs and feet.
Ferret hasn't eaten today and vomited greenish fluid.,Digestive Issues,Owner Observation,Ferret hasn't eaten today and vomited greenish fluid.
My dog has developed a large fluid-filled swelling (cyst?) under the skin.,Skin Irritations,Owner Observation,My dog has developed a large fluid-filled swelling (cyst?) under the skin.
My cat has Horner's syndrome related to an ear infection.,Ear Infections,Owner Observation,My cat has Horner's syndrome related to an ear infection.
"Dog has large volume, greasy, foul-smelling stools.",Digestive Issues,Owner Observation,"Dog has large volume, greasy, foul-smelling stools."
My rabbit's appetite has been poor for several days.,Digestive Issues,Owner Observation,My rabbit's appetite has been poor for several days.
Dog's ears are greasy and the hair around them is matted.,Ear Infections,Owner Observation,Dog's ears are greasy and the hair around them is matted.
Dog has diarrhea with visible pieces of undigested kibble.,Digestive Issues,Owner Observation,Dog has diarrhea with visible pieces of undigested kibble.
My dog has food allergies that trigger ear infections.,Ear Infections,Owner Observation,My dog has food allergies that trigger ear infections.
My dog has a torn ACL (CCL) and needs surgery.,Mobility Problems,Owner Observation,My dog has a torn ACL (CCL) and needs surgery.
My dog tested positive for Anaplasmosis after a tick bite.,Parasites,Owner Observation,My dog tested positive for Anaplasmosis after a tick bite.
"There's a moist, red, sore area on my dog's flank that appeared suddenly.",Skin Irritations,Owner Observation,"There's a moist, red, sore area on my dog's flank that appeared suddenly."
Ferret yelps when his ears are examined.,Ear Infections,Owner Observation,Ferret yelps when his ears are examined.
"Puppy has intermittent diarrhea, sometimes normal, sometimes loose.",Digestive Issues,Owner Observation,"Puppy has intermittent diarrhea, sometimes normal, sometimes loose."
Guinea pig seems unable to move properly after being dropped.,Mobility Problems,Owner Observation,Guinea pig seems unable to move properly after being dropped.
"Rabbit isn't eating pellets, only picking at greens.",Digestive Issues,Owner Observation,"Rabbit isn't eating pellets, only picking at greens."
My dog has a rash after swimming in the lake.,Skin Irritations,Owner Observation,My dog has a rash after swimming in the lake.
Cat has created raw spots and scabs around her ears from scratching.,Ear Infections,Owner Observation,Cat has created raw spots and scabs around her ears from scratching.
My cat seems to have inflammation deep within the ear.,Ear Infections,Owner Observation,My cat seems to have inflammation deep within the ear.
"Cat is constantly scratching around the neck, causing hair loss.",Skin Irritations,Owner Observation,"Cat is constantly scratching around the neck, causing hair loss."
My rabbit has crusty buildup inside its ears.,Ear Infections,Owner Observation,My rabbit has crusty buildup inside its ears.
Puppy's ears seem hot to the touch.,Ear Infections,Owner Observation,Puppy's ears seem hot to the touch.
"Guinea pig has mange mites, causing severe itching and seizures.",Parasites,Owner Observation,"Guinea pig has mange mites, causing severe itching and seizures."
"Dog has intense itching episodes, especially at night.",Skin Irritations,Owner Observation,"Dog has intense itching episodes, especially at night."
"Dog keeps shaking his head, and the inside of his ear flaps are red.",Skin Irritations,Owner Observation,"Dog keeps shaking his head, and the inside of his ear flaps are red."
My rabbit is biting at its flank.,Skin Irritations,Owner Observation,My rabbit is biting at its flank.
My rabbit has sores developing on the soles of its feet.,Parasites,Owner Observation,My rabbit has sores developing on the soles of its feet.
Rabbit has lost balance.,Ear Infections,Owner Observation,Rabbit has lost balance.
My dog's elbow/hock seems to stick out at an odd angle.,Mobility Problems,Owner Observation,My dog's elbow/hock seems to stick out at an odd angle.
Cat has developed facial nerve paralysis (droopy face) on one side.,Ear Infections,Owner Observation,Cat has developed facial nerve paralysis (droopy face) on one side.
Cat vomits bile mostly in the early morning before breakfast.,Digestive Issues,Owner Observation,Cat vomits bile mostly in the early morning before breakfast.
"Dog has sudden onset of watery, projectile diarrhea.",Digestive Issues,Owner Observation,"Dog has sudden onset of watery, projectile diarrhea."
My cat has redness and swelling of the chin.,Skin Irritations,Owner Observation,My cat has redness and swelling of the chin.
My guinea pig's droppings are very small and dry.,Digestive Issues,Owner Observation,My guinea pig's droppings are very small and dry.
"Cat has a greasy feel to her coat, especially near the tail base.",Skin Irritations,Owner Observation,"Cat has a greasy feel to her coat, especially near the tail base."
Rabbit has discharge coming from the ear.,Ear Infections,Owner Observation,Rabbit has discharge coming from the ear.
"Dog’s ears have a rash with small, crusty bumps.",Skin Irritations,Owner Observation,"Dog’s ears have a rash with small, crusty bumps."
My cat has bad breath and occasionally vomits foam.,Digestive Issues,Owner Observation,My cat has bad breath and occasionally vomits foam.
Cat’s ears have a brown discharge and bad smell.,Ear Infections,Owner Observation,Cat’s ears have a brown discharge and bad smell.
My ferret arches his back when I pick him up.,Mobility Problems,Owner Observation,My ferret arches his back when I pick him up.
My puppy has 'growing pains' (panosteitis).,Mobility Problems,Owner Observation,My puppy has 'growing pains' (panosteitis).
My ferret seems painful in his back.,Mobility Problems,Owner Observation,My ferret seems painful in his back.
Ferret seems painful around the head.,Ear Infections,Owner Observation,Ferret seems painful around the head.
My bird has crusty growths on its beak and feet.,Parasites,Owner Observation,My bird has crusty growths on its beak and feet.
Cat has developed hives/welts after being outside.,Skin Irritations,Owner Observation,Cat has developed hives/welts after being outside.
My cat has crusty lesions around her eyes and nose.,Skin Irritations,Owner Observation,My cat has crusty lesions around her eyes and nose.
My dog is reluctant to go for walks.,Mobility Problems,Owner Observation,My dog is reluctant to go for walks.
My dog sits with his leg sticking straight out to the side.,Mobility Problems,Owner Observation,My dog sits with his leg sticking straight out to the side.
My dog is knuckling over on his paws.,Mobility Problems,Owner Observation,My dog is knuckling over on his paws.
My dog has osteosarcoma requiring amputation.,Mobility Problems,Owner Observation,My dog has osteosarcoma requiring amputation.
Dog has developed calluses on his elbows that are now cracking.,Skin Irritations,Owner Observation,Dog has developed calluses on his elbows that are now cracking.
Cat vomited a large hairball this morning.,Digestive Issues,Owner Observation,Cat vomited a large hairball this morning.
My rabbit has fur mites (Cheyletiella).,Parasites,Owner Observation,My rabbit has fur mites (Cheyletiella).
My ferret's skin looks yellowish and he's losing fur.,Skin Irritations,Owner Observation,My ferret's skin looks yellowish and he's losing fur.
"My puppy has dark specks in his ears, vet suspected mites.",Ear Infections,Owner Observation,"My puppy has dark specks in his ears, vet suspected mites."
"Hamster is scratching incessantly, causing small wounds.",Skin Irritations,Owner Observation,"Hamster is scratching incessantly, causing small wounds."
Dog has a ruptured eardrum from a chronic infection.,Ear Infections,Owner Observation,Dog has a ruptured eardrum from a chronic infection.
My cat tries to vomit frequently but only retches.,Digestive Issues,Owner Observation,My cat tries to vomit frequently but only retches.
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems,Owner Observation,"Cat has visibly swollen joints, especially her wrists (carpi)."
My cat is holding her head tilted to one side.,Ear Infections,Owner Observation,My cat is holding her head tilted to one side.
Cat looks carefully before jumping down from even low heights.,Mobility Problems,Owner Observation,Cat looks carefully before jumping down from even low heights.
My hamster’s stools are watery and frequent.,Digestive Issues,Owner Observation,My hamster’s stools are watery and frequent.
My puppy eats constantly but is skinny and has soft poop.,Digestive Issues,Owner Observation,My puppy eats constantly but is skinny and has soft poop.
Rabbit has ear mites causing thick crusts.,Ear Infections,Owner Observation,Rabbit has ear mites causing thick crusts.
My dog's thigh muscles look smaller than they used to.,Mobility Problems,Owner Observation,My dog's thigh muscles look smaller than they used to.
"Dog has diarrhea that smells metallic, like blood.",Digestive Issues,Owner Observation,"Dog has diarrhea that smells metallic, like blood."
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems,Owner Observation,"My cat used to love chasing laser pointers, now she just watches."
Dog is licking obsessively at a spot between his shoulder blades.,Skin Irritations,Owner Observation,Dog is licking obsessively at a spot between his shoulder blades.
My dog whimpers when he tries to jump onto the bed.,Mobility Problems,Owner Observation,My dog whimpers when he tries to jump onto the bed.
Dog's ear canal bleeds easily when cleaned.,Ear Infections,Owner Observation,Dog's ear canal bleeds easily when cleaned.
Rabbit has flaky skin on the outside of its ear flaps.,Skin Irritations,Owner Observation,Rabbit has flaky skin on the outside of its ear flaps.
Found a tick embedded in my cat's skin after she was outside.,Parasites,Owner Observation,Found a tick embedded in my cat's skin after she was outside.
Cat has hair loss around the eyes and ears.,Parasites,Owner Observation,Cat has hair loss around the eyes and ears.
"My dog has developed red, itchy patches on his belly and inner thighs.",Skin Irritations,Owner Observation,"My dog has developed red, itchy patches on his belly and inner thighs."
My rabbit is scratching its dewlap constantly.,Skin Irritations,Owner Observation,My rabbit is scratching its dewlap constantly.
"Rabbit is moving very little, seems painful.",Ear Infections,Owner Observation,"Rabbit is moving very little, seems painful."
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations,Owner Observation,Cat's chin has blackheads and some pimple-like sores (chin acne).
My dog developed a head tilt and seems dizzy.,Mobility Problems,Owner Observation,My dog developed a head tilt and seems dizzy.
My cat vomited a plant leaf.,Digestive Issues,Owner Observation,My cat vomited a plant leaf.
Cat got diarrhea after drinking milk.,Digestive Issues,Owner Observation,Cat got diarrhea after drinking milk.
My ferret shakes his head after I clean his ears.,Ear Infections,Owner Observation,My ferret shakes his head after I clean his ears.
My rabbit has maggots near its tail (flystrike).,Parasites,Owner Observation,My rabbit has maggots near its tail (flystrike).
Hamster has wetness and irritation around its tail (wet tail).,Skin Irritations,Owner Observation,Hamster has wetness and irritation around its tail (wet tail).
My dog's poop is covered in slimy mucus.,Digestive Issues,Owner Observation,My dog's poop is covered in slimy mucus.
Puppy has roundworms and hookworms.,Parasites,Owner Observation,Puppy has roundworms and hookworms.
"Guinea pig has very rough, coarse fur and seems itchy.",Skin Irritations,Owner Observation,"Guinea pig has very rough, coarse fur and seems itchy."
My rabbit has swelling around the ear base.,Ear Infections,Owner Observation,My rabbit has swelling around the ear base.
I found a live flea crawling on my arm after holding the cat.,Parasites,Owner Observation,I found a live flea crawling on my arm after holding the cat.
Dog is anemic due to a heavy hookworm burden.,Parasites,Owner Observation,Dog is anemic due to a heavy hookworm burden.
Rabbit has ear mites causing inflammation and head tilt.,Parasites,Owner Observation,Rabbit has ear mites causing inflammation and head tilt.
"Cat has a swollen area on her face, like an abscess.",Skin Irritations,Owner Observation,"Cat has a swollen area on her face, like an abscess."
My cat has fleas and tapeworms.,Parasites,Owner Observation,My cat has fleas and tapeworms.
My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.,Ear Infections,Owner Observation,My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.
"Guinea pig has white, powdery stuff in its fur.",Parasites,Owner Observation,"Guinea pig has white, powdery stuff in its fur."
Rabbit is reluctant to be picked up.,Mobility Problems,Owner Observation,Rabbit is reluctant to be picked up.
My dog has mucus covering his stool.,Digestive Issues,Owner Observation,My dog has mucus covering his stool.
"Kitten has crusty discharge around its eyes and nose, along with skin sores.",Skin Irritations,Owner Observation,"Kitten has crusty discharge around its eyes and nose, along with skin sores."
"My dog has environmental allergies (pollens, dust mites) causing ear issues.",Ear Infections,Owner Observation,"My dog has environmental allergies (pollens, dust mites) causing ear issues."
"My dog's elbows are calloused, dark, and sometimes cracked.",Skin Irritations,Owner Observation,"My dog's elbows are calloused, dark, and sometimes cracked."
My cat seems to gag or cough after eating.,Digestive Issues,Owner Observation,My cat seems to gag or cough after eating.
My cat threw up clear liquid this morning and seems quiet.,Digestive Issues,Owner Observation,My cat threw up clear liquid this morning and seems quiet.
My dog is excessively gassy and burping.,Digestive Issues,Owner Observation,My dog is excessively gassy and burping.
My dog has elbow dysplasia causing forelimb lameness.,Mobility Problems,Owner Observation,My dog has elbow dysplasia causing forelimb lameness.
Guinea pig is losing weight rapidly and has diarrhea.,Digestive Issues,Owner Observation,Guinea pig is losing weight rapidly and has diarrhea.
"My cat has lungworm, diagnosed after chronic coughing.",Parasites,Owner Observation,"My cat has lungworm, diagnosed after chronic coughing."
Rabbit has hair loss and crusting around the base of the affected ear.,Ear Infections,Owner Observation,Rabbit has hair loss and crusting around the base of the affected ear.
My dog's ear flap swelled up suddenly like a water balloon.,Ear Infections,Owner Observation,My dog's ear flap swelled up suddenly like a water balloon.
My rabbit is losing fur in clumps when I pet it.,Skin Irritations,Owner Observation,My rabbit is losing fur in clumps when I pet it.
Cat has bad gas and occasional vomiting.,Digestive Issues,Owner Observation,Cat has bad gas and occasional vomiting.
Cat seems less interested in playing with toys.,Mobility Problems,Owner Observation,Cat seems less interested in playing with toys.
"Rabbit has white, crusty deposits in its ears.",Skin Irritations,Owner Observation,"Rabbit has white, crusty deposits in its ears."
My dog has developed a lump that seems attached to the skin.,Skin Irritations,Owner Observation,My dog has developed a lump that seems attached to the skin.
"Rabbit seems to have lost its balance, stumbling.",Ear Infections,Owner Observation,"Rabbit seems to have lost its balance, stumbling."
My dog holds up his back leg occasionally when walking ('skipping').,Mobility Problems,Owner Observation,My dog holds up his back leg occasionally when walking ('skipping').
Rabbit has lost fur on its nose from rubbing cage bars.,Skin Irritations,Owner Observation,Rabbit has lost fur on its nose from rubbing cage bars.
