query,true_condition,animal_filter,top1_condition,retrieved_conditions,correct_rank,hit_at_1,hit_at_3,hit_at_5,top1_text,top1_score
Guinea pig's back legs seem paralyzed.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Mobility Problems', 'Mobility Problems', 'Digestive Issues']",1.0,True,True,True,Suspect vitamin C deficiency (scurvy) in guinea pig with lameness/reluctance to move; supplement vitamin C.,0.5965315103530884
"Cat has greasy, matted fur along its back.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Skin Irritations']",1.0,True,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.659246563911438
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",,False,False,False,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6372721195220947
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Ear Infections', 'Mobility Problems', 'Skin Irritations']",1.0,True,True,True,"Panosteitis suspected in young, large breed dog with shifting leg lameness and long bone pain on palpation.",0.6405924558639526
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6940736770629883
My parrot is picking at himself constantly and seems agitated.,Parasites,,Parasites,"['Parasites', 'Mobility Problems', 'Digestive Issues', 'Parasites', 'Ear Infections']",1.0,True,True,True,Ensure rabbit environment is clean to prevent flystrike.,0.6068216562271118
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Wet tail in hamster; guarded prognosis, provide heat support, antibiotics, fluids.",0.6688224077224731
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Chronic ear infection; rule out hypothyroidism.,0.6510560512542725
Dog has had pudding-like stool for three days straight.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Parasites', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,"Chronic intermittent vomiting in feline; consider IBD, food allergy, lymphoma.",0.6240552067756653
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.7380096912384033
Rabbit has stopped hopping normally.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Parasites', 'Digestive Issues', 'Mobility Problems']",2.0,False,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6499131917953491
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Ear Infections', 'Skin Irritations', 'Skin Irritations']",,False,False,False,Educate owner on signs of worsening neurological function.,0.6173161268234253
Guinea pig's feet are red and swollen.,Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations']",2.0,False,True,True,"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry.",0.6365541219711304
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Ear infection with swelling; start combo drops.,0.6493667960166931
My kitten has developed scabs behind her ears.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Ear Infections', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.6627748012542725
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",,False,False,False,"Histiocytoma observed on young dog's limb; typically benign, monitor for regression.",0.5954497456550598
My puppy came from a litter where several pups had ear mites.,Ear Infections,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Ear Infections', 'Parasites', 'Ear Infections']",3.0,False,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.6761152744293213
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Parasites', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6248195767402649
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Parasites', 'Skin Irritations', 'Parasites', 'Digestive Issues']",1.0,True,True,True,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.6478437781333923
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites,,Ear Infections,"['Ear Infections', 'Parasites', 'Digestive Issues', 'Ear Infections', 'Digestive Issues']",2.0,False,True,True,Check thyroid levels in dogs with recurrent infections.,0.6418800950050354
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Parasites', 'Parasites']",1.0,True,True,True,Ensure owner understands frequency and duration of deworming medication.,0.6986047029495239
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems']",,False,False,False,"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy.",0.5917834043502808
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations']",2.0,False,True,True,Advise slow transition when changing pet foods.,0.62974613904953
Dog’s ears are tender and smell like yeast.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Yeast and bacteria in ear; prescribe dual therapy.,0.6869159936904907
My dog has a rash on his belly that looks like insect bites.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.,0.6475523710250854
My rabbit is pressing its abdomen on the floor.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Parasites', 'Mobility Problems', 'Digestive Issues']",1.0,True,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6650813817977905
My dog slipped on the floor and has been limping since.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Digestive Issues', 'Mobility Problems', 'Ear Infections']",1.0,True,True,True,Consider referral for acupuncture or veterinary spinal manipulative therapy (VSMT).,0.6011262536048889
Rabbit seems generally weak and floppy.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Parasites', 'Digestive Issues', 'Skin Irritations']",2.0,False,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6989127993583679
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Digestive Issues', 'Skin Irritations', 'Ear Infections', 'Ear Infections']",3.0,False,True,True,Wobbler syndrome (cervical spondylomyelopathy) suspected in large breed dog with neck pain and gait abnormalities.,0.6523024439811707
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Ear Infections', 'Parasites', 'Digestive Issues', 'Parasites']",,False,False,False,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.6673089265823364
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Chronic intermittent vomiting in feline; consider IBD, food allergy, lymphoma.",0.617781400680542
Dog has diarrhea that looks like raspberry jam.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,Hemorrhagic gastroenteritis (HGE) suspected due to 'raspberry jam' stool and elevated PCV.,0.6389882564544678
My rabbit's left ear is hanging down lower than the right.,Ear Infections,,Mobility Problems,"['Mobility Problems', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Ear Infections']",4.0,False,False,True,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.6179343461990356
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites,,Ear Infections,"['Ear Infections', 'Parasites', 'Parasites', 'Mobility Problems', 'Ear Infections']",2.0,False,True,True,Check thyroid levels in dogs with recurrent infections.,0.5971341133117676
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Parasites', 'Skin Irritations', 'Ear Infections']",2.0,False,True,True,Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,0.7249695658683777
"Dog has small, raised, hairless bumps appearing on his body.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Ear Infections']",1.0,True,True,True,Canine recurrent flank alopecia noted; seasonal pattern.,0.6397801637649536
My dog's ear infection came back shortly after finishing medication.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Digestive Issues', 'Ear Infections']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.6459532976150513
"My dog has scabies, and the whole family is itchy now.",Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Ear Infections', 'Parasites']",1.0,True,True,True,Discuss importance of treating all pets in household for fleas/mites.,0.6477659940719604
