condition,keyword,score,rank
Ear Infections,ears red,0.05580368599442997,16
Ear Infections,ear problems,0.05580368599442997,17
Ear Infections,head after,0.05580368599442997,18
Ear Infections,ear ear,0.05580368599442997,19
Ear Infections,droopy,0.05580368599442997,20
Ear Infections,ears ferret,0.05580368599442997,21
Ear Infections,cleaning,0.05580368599442997,22
Ear Infections,below,0.05580368599442997,23
Ear Infections,head,0.05558261952330653,24
Ear Infections,ear infections,0.05558029763081572,25
Ear Infections,shakes head,0.05558029763081572,26
Ear Infections,shakes,0.05558029763081572,27
Ear Infections,discharge,0.05007256866854286,28
Ear Infections,water,0.049232097546739725,29
Ear Infections,started,0.049232097546739725,30
Ear Infections,yeasty,0.049232097546739725,31
Ear Infections,ear flap,0.049232097546739725,32
Ear Infections,flap,0.049232097546739725,33
Ear Infections,affected,0.04907621754003862,34
Ear Infections,buildup,0.04907621754003862,35
Ear Infections,shakes head after,0.04907621754003862,36
Ear Infections,ears ear infection,0.04907621754003862,37
Ear Infections,left ear,0.04907621754003862,38
Ear Infections,ear drops,0.04907621754003862,39
Ear Infections,ears scratching,0.04907621754003862,40
Mobility Problems,back legs,0.09070143244709422,1
Mobility Problems,leg,0.08255238942536886,2
Mobility Problems,pain,0.07677503473560048,3
Mobility Problems,arthritis,0.07452159721749899,4
Mobility Problems,joints,0.07452159721749899,5
Mobility Problems,legs,0.07313512359476555,6
Mobility Problems,limping,0.06965481203445335,7
Mobility Problems,gait,0.06965481203445335,8
Mobility Problems,limp,0.06965481203445335,9
Mobility Problems,hind,0.06628841251221629,10
Mobility Problems,weakness,0.06369834836485294,11
Mobility Problems,leg after,0.06369834836485294,12
Mobility Problems,dysplasia,0.06369834836485294,13
Mobility Problems,elbow,0.06369834836485294,14
Mobility Problems,hips,0.06369834836485294,15
Mobility Problems,muscle,0.06369834836485294,16
Mobility Problems,dragging,0.06369834836485294,17
Mobility Problems,stiff,0.06369834836485294,18
Mobility Problems,joint,0.06369834836485294,19
Mobility Problems,hind legs,0.06344335678942949,20
Mobility Problems,started,0.05619706376703625,21
Mobility Problems,box,0.05619706376703625,22
Mobility Problems,litter box,0.05619706376703625,23
Mobility Problems,ivdd,0.056019131094793895,24
Mobility Problems,when walks,0.056019131094793895,25
Mobility Problems,resting,0.056019131094793895,26
Mobility Problems,hip,0.056019131094793895,27
Mobility Problems,posture,0.056019131094793895,28
Mobility Problems,due pain,0.056019131094793895,29
Mobility Problems,use,0.056019131094793895,30
Mobility Problems,urine,0.056019131094793895,31
Mobility Problems,unable,0.056019131094793895,32
Mobility Problems,lying down,0.056019131094793895,33
Mobility Problems,lying,0.056019131094793895,34
Mobility Problems,climbing,0.056019131094793895,35
Mobility Problems,struggles,0.056019131094793895,36
Mobility Problems,knees,0.056019131094793895,37
Mobility Problems,injury,0.056019131094793895,38
Mobility Problems,wobbly,0.056019131094793895,39
Mobility Problems,steps,0.056019131094793895,40
Parasites,fleas,0.09003386096142793,1
Parasites,mites,0.0783669241182556,2
Parasites,bird,0.06919303491838615,3
Parasites,flea,0.06603839848964244,4
Parasites,worms,0.06557237005343743,5
Parasites,tick,0.06557237005343743,6
Parasites,itchy,0.06438954744018227,7
Parasites,diarrhea,0.06258343546458017,8
Parasites,mange,0.061290032437110564,9
Parasites,parasites,0.061290032437110564,10
Parasites,ear,0.06119583201642716,11
Parasites,ear mites,0.06058687130453043,12
Parasites,vet,0.05607691387937248,13
Parasites,demodex,0.05604887477897627,14
Parasites,scabies,0.05604887477897627,15
Parasites,crawling,0.05604887477897627,16
Parasites,positive,0.05604887477897627,17
Parasites,ticks,0.05604887477897627,18
Parasites,dermatitis,0.05604887477897627,19
Parasites,roundworms,0.05604887477897627,20
Parasites,giardia,0.05604887477897627,21
Parasites,heartworm,0.05604887477897627,22
Parasites,coccidia,0.05604887477897627,23
Parasites,tapeworms,0.05604887477897627,24
Parasites,rabbit fur,0.05604887477897627,25
Parasites,ears,0.053449140921182615,26
Parasites,mites causing,0.05290337528189756,27
Parasites,stool,0.05290337528189756,28
Parasites,resistant,0.04944841225683531,29
Parasites,flea allergy,0.04929184734861387,30
Parasites,generalized,0.04929184734861387,31
Parasites,itchy especially,0.04929184734861387,32
Parasites,worried about,0.04929184734861387,33
Parasites,rice,0.04929184734861387,34
Parasites,very itchy,0.04929184734861387,35
Parasites,dewormer,0.04929184734861387,36
Parasites,pale gums,0.04929184734861387,37
Parasites,still,0.04929184734861387,38
Parasites,tested,0.04929184734861387,39
Parasites,lice,0.04929184734861387,40
Skin Irritations,chin,0.07552128235020954,1
Skin Irritations,skin,0.06867247252198004,2
Skin Irritations,redness,0.06723104798047531,3
Skin Irritations,rash,0.06399475187074874,4
Skin Irritations,bumps,0.06326056034864776,5
Skin Irritations,itchy,0.06326056034864776,6
Skin Irritations,hair loss,0.06295761096753556,7
Skin Irritations,loss,0.06295761096753556,8
Skin Irritations,tail,0.05976874624046918,9
Skin Irritations,lesions,0.058522302754459916,10
Skin Irritations,collar,0.058522302754459916,11
Skin Irritations,between,0.058522302754459916,12
Skin Irritations,crusty lesions,0.058522302754459916,13
Skin Irritations,folds,0.058522302754459916,14
Skin Irritations,flaky skin,0.05828803146548876,15
Skin Irritations,patches,0.05828803146548876,16
Skin Irritations,hair,0.056524245527406404,17
Skin Irritations,nose,0.05580784305287304,18
Skin Irritations,hamster,0.05580784305287304,19
Skin Irritations,crusty,0.05580784305287304,20
Skin Irritations,appearing,0.05523799286228186,21
Skin Irritations,itching,0.05523799286228186,22
Skin Irritations,ears,0.05424244590881088,23
Skin Irritations,eyes,0.05424244590881088,24
Skin Irritations,belly,0.052511979649631786,25
Skin Irritations,neck,0.051630562865596176,26
Skin Irritations,thickened,0.051630562865596176,27
Skin Irritations,dandruff,0.051630562865596176,28
Skin Irritations,matted fur,0.05146708877274791,29
Skin Irritations,redness irritation,0.05146708877274791,30
Skin Irritations,lump,0.05146708877274791,31
Skin Irritations,developed large,0.05146708877274791,32
Skin Irritations,groin,0.05146708877274791,33
Skin Irritations,skin folds,0.05146708877274791,34
Skin Irritations,between toes,0.05146708877274791,35
Skin Irritations,developed lump,0.05146708877274791,36
Skin Irritations,nose developed,0.05146708877274791,37
Skin Irritations,pads,0.05146708877274791,38
Skin Irritations,toes,0.05146708877274791,39
Skin Irritations,paw pads,0.05146708877274791,40
