text,condition,record_type,clean_text
Long-term maintenance therapy with weekly ear cleaner/medication may be required.,Ear Infections,Clinical Notes,Long-term maintenance therapy with weekly ear cleaner/medication may be required.
"Fecal score: 6/7 (soft, unformed).",Digestive Issues,Clinical Notes,"Fecal score: 6/7 (soft, unformed)."
Recommend probiotics (FortiFlora) to support gut health.,Digestive Issues,Clinical Notes,Recommend probiotics (FortiFlora) to support gut health.
Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.,Parasites,Clinical Notes,Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.
"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics.",Skin Irritations,Clinical Notes,"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics."
Motility disorder suspected; consider trial with cisapride.,Digestive Issues,Clinical Notes,Motility disorder suspected; consider trial with cisapride.
CSF tap performed; analysis pending.,Mobility Problems,Clinical Notes,CSF tap performed; analysis pending.
Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.,Parasites,Clinical Notes,Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.
Administer opioid analgesic (methadone) for severe abdominal pain.,Digestive Issues,Clinical Notes,Administer opioid analgesic (methadone) for severe abdominal pain.
"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies.",Skin Irritations,Clinical Notes,"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies."
Auscultation reveals decreased borborygmi; suggestive of ileus.,Digestive Issues,Clinical Notes,Auscultation reveals decreased borborygmi; suggestive of ileus.
Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.,Mobility Problems,Clinical Notes,Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.
Excoriations on tail; rule out flea hypersensitivity.,Skin Irritations,Clinical Notes,Excoriations on tail; rule out flea hypersensitivity.
Cytauxzoon felis identified on blood smear; grave prognosis.,Parasites,Clinical Notes,Cytauxzoon felis identified on blood smear; grave prognosis.
"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme.",Parasites,Clinical Notes,"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme."
Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.,Skin Irritations,Clinical Notes,Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.
Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.,Parasites,Clinical Notes,Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.
Monitor body weight and body condition score.,Digestive Issues,Clinical Notes,Monitor body weight and body condition score.
Treat secondary pyoderma before pursuing allergy diagnostics.,Skin Irritations,Clinical Notes,Treat secondary pyoderma before pursuing allergy diagnostics.
Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.,Mobility Problems,Clinical Notes,Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.
Heartworm antigen test positive; stage condition and plan treatment.,Parasites,Clinical Notes,Heartworm antigen test positive; stage condition and plan treatment.
Heartworm antigen test negative. Microfilaria test negative.,Parasites,Clinical Notes,Heartworm antigen test negative. Microfilaria test negative.
Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.,Digestive Issues,Clinical Notes,Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.
"Discuss importance of addressing primary factors (allergies, conformation) for long-term control.",Ear Infections,Clinical Notes,"Discuss importance of addressing primary factors (allergies, conformation) for long-term control."
Rule out hypothyroidism as cause of dry skin and alopecia.,Skin Irritations,Clinical Notes,Rule out hypothyroidism as cause of dry skin and alopecia.
"Gait analysis performed: observe walk, trot, turning, stairs.",Mobility Problems,Clinical Notes,"Gait analysis performed: observe walk, trot, turning, stairs."
"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management).",Ear Infections,Clinical Notes,"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management)."
Monitor for decubital ulcers in recumbent patients.,Mobility Problems,Clinical Notes,Monitor for decubital ulcers in recumbent patients.
"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent).",Mobility Problems,Clinical Notes,"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent)."
Contact dermatitis suspected on sparsely haired ventral abdomen.,Skin Irritations,Clinical Notes,Contact dermatitis suspected on sparsely haired ventral abdomen.
Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,Skin Irritations,Clinical Notes,Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.
"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",Digestive Issues,Clinical Notes,"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting."
Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.,Parasites,Clinical Notes,Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.
"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea.",Parasites,Clinical Notes,"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea."
Assess for potential medication side effects causing GI upset.,Digestive Issues,Clinical Notes,Assess for potential medication side effects causing GI upset.
Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.,Ear Infections,Clinical Notes,Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.
Provide estimate for diagnostics and potential treatments.,Digestive Issues,Clinical Notes,Provide estimate for diagnostics and potential treatments.
"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC.",Ear Infections,Clinical Notes,"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC."
Diarrhea with weight loss; check thyroid levels.,Digestive Issues,Clinical Notes,Diarrhea with weight loss; check thyroid levels.
Dermatophytosis confirmed by fungal culture; initiate itraconazole.,Skin Irritations,Clinical Notes,Dermatophytosis confirmed by fungal culture; initiate itraconazole.
Pain on tail jack/lumbosacral palpation.,Mobility Problems,Clinical Notes,Pain on tail jack/lumbosacral palpation.
"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels).",Ear Infections,Clinical Notes,"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels)."
Dog presented with severe flea infestation and secondary anemia (PCV 22%).,Parasites,Clinical Notes,Dog presented with severe flea infestation and secondary anemia (PCV 22%).
"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks).",Parasites,Clinical Notes,"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks)."
Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.,Skin Irritations,Clinical Notes,Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.
Prescribe fluralaner (Bravecto) for 12-week flea and tick control.,Parasites,Clinical Notes,Prescribe fluralaner (Bravecto) for 12-week flea and tick control.
"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow.",Mobility Problems,Clinical Notes,"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow."
Baermann fecal examination performed to detect lungworm larvae.,Parasites,Clinical Notes,Baermann fecal examination performed to detect lungworm larvae.
Strict activity restriction post-operatively.,Mobility Problems,Clinical Notes,Strict activity restriction post-operatively.
Recommend prophylactic ear cleaning with drying agent after swimming/bathing.,Ear Infections,Clinical Notes,Recommend prophylactic ear cleaning with drying agent after swimming/bathing.
"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas.",Ear Infections,Clinical Notes,"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas."
Contrast radiography (barium series) performed; delayed transit time noted.,Digestive Issues,Clinical Notes,Contrast radiography (barium series) performed; delayed transit time noted.
Prescribe sulfadimethoxine (Albon) for Coccidia treatment.,Parasites,Clinical Notes,Prescribe sulfadimethoxine (Albon) for Coccidia treatment.
Consider referral to dermatologist for allergy workup.,Ear Infections,Clinical Notes,Consider referral to dermatologist for allergy workup.
Administer dewormer according to manufacturer's instructions.,Parasites,Clinical Notes,Administer dewormer according to manufacturer's instructions.
Consider food elimination trial if food allergy suspected.,Ear Infections,Clinical Notes,Consider food elimination trial if food allergy suspected.
Prescribe short course of prednisone for severe inflammation.,Skin Irritations,Clinical Notes,Prescribe short course of prednisone for severe inflammation.
"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media.",Ear Infections,Clinical Notes,"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media."
Advise feeding multiple small meals per day instead of one or two large meals.,Digestive Issues,Clinical Notes,Advise feeding multiple small meals per day instead of one or two large meals.
Rule out foreign body obstruction; recommend abdominal ultrasound.,Digestive Issues,Clinical Notes,Rule out foreign body obstruction; recommend abdominal ultrasound.
Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.,Ear Infections,Clinical Notes,Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.
Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.,Skin Irritations,Clinical Notes,Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.
Schedule follow-up fecal examination 3-4 weeks post-deworming.,Parasites,Clinical Notes,Schedule follow-up fecal examination 3-4 weeks post-deworming.
Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.,Digestive Issues,Clinical Notes,Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.
"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level.",Digestive Issues,Clinical Notes,"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level."
Tritrichomonas foetus testing recommended for chronic feline diarrhea.,Digestive Issues,Clinical Notes,Tritrichomonas foetus testing recommended for chronic feline diarrhea.
Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.,Parasites,Clinical Notes,Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.
Consider environmental allergy testing (serum or intradermal).,Skin Irritations,Clinical Notes,Consider environmental allergy testing (serum or intradermal).
Provide structured plan for gradual increase in activity following healing period.,Mobility Problems,Clinical Notes,Provide structured plan for gradual increase in activity following healing period.
"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated.",Ear Infections,Clinical Notes,"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated."
Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.,Digestive Issues,Clinical Notes,Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.
"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria.",Digestive Issues,Clinical Notes,"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria."
"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions.",Ear Infections,Clinical Notes,"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions."
Fracture identified on radiograph; stabilize and discuss repair options.,Mobility Problems,Clinical Notes,Fracture identified on radiograph; stabilize and discuss repair options.
Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.,Mobility Problems,Clinical Notes,Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.
Histiocytoma present on young dog; monitor for spontaneous regression.,Skin Irritations,Clinical Notes,Histiocytoma present on young dog; monitor for spontaneous regression.
Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.,Digestive Issues,Clinical Notes,Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.
Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.,Ear Infections,Clinical Notes,Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.
"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy.",Skin Irritations,Clinical Notes,"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy."
Emphasize finishing the full course of medication.,Ear Infections,Clinical Notes,Emphasize finishing the full course of medication.
Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.,Parasites,Clinical Notes,Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.
"Symmetrical non-inflammatory alopecia on flanks; rule out endocrine condition (hypothyroidism, hyperadrenocorticism, sex hormone imbalance).",Skin Irritations,Clinical Notes,"Symmetrical non-inflammatory alopecia on flanks; rule out endocrine condition (hypothyroidism, hyperadrenocorticism, sex hormone imbalance)."
Dermacentor andersoni tick removed. Discuss RMSF/Tularemia/tick paralysis risk.,Parasites,Clinical Notes,Dermacentor andersoni tick removed. Discuss RMSF/Tularemia/tick paralysis risk.
"Histiocytoma observed on young dog's limb; typically benign, monitor for regression.",Skin Irritations,Clinical Notes,"Histiocytoma observed on young dog's limb; typically benign, monitor for regression."
"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended.",Parasites,Clinical Notes,"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended."
Prescribe anti-diarrheal (kaolin-pectin) for symptomatic relief.,Digestive Issues,Clinical Notes,Prescribe anti-diarrheal (kaolin-pectin) for symptomatic relief.
Pruritus and erythema on ears; topical therapy prescribed.,Skin Irritations,Clinical Notes,Pruritus and erythema on ears; topical therapy prescribed.
Tibial thrust clearly palpable during ambulation.,Mobility Problems,Clinical Notes,Tibial thrust clearly palpable during ambulation.
Prescribe strict cage rest (4-6 weeks) and muscle relaxants (methocarbamol) for suspected fibrocartilaginous embolism (FCE).,Mobility Problems,Clinical Notes,Prescribe strict cage rest (4-6 weeks) and muscle relaxants (methocarbamol) for suspected fibrocartilaginous embolism (FCE).
"Recommend feeding a low-fat, easily digestible prescription diet during recovery from pancreatitis.",Digestive Issues,Clinical Notes,"Recommend feeding a low-fat, easily digestible prescription diet during recovery from pancreatitis."
Perform thorough dental examination to rule out apical abscess or oronasal fistula contributing to signs.,Ear Infections,Clinical Notes,Perform thorough dental examination to rule out apical abscess or oronasal fistula contributing to signs.
Ensure medication is stored and handled correctly.,Ear Infections,Clinical Notes,Ensure medication is stored and handled correctly.
Educate owner on signs of dehydration.,Digestive Issues,Clinical Notes,Educate owner on signs of dehydration.
Recheck fecal exam after deworming treatment.,Digestive Issues,Clinical Notes,Recheck fecal exam after deworming treatment.
Treat ear mites with appropriate acaricide (topical or systemic). Treat all in-contact animals.,Ear Infections,Clinical Notes,Treat ear mites with appropriate acaricide (topical or systemic). Treat all in-contact animals.
Chronic ear infection; rule out hypothyroidism.,Ear Infections,Clinical Notes,Chronic ear infection; rule out hypothyroidism.
Prescribe metronidazole and recommend adding fiber (pumpkin) to diet for colitis.,Digestive Issues,Clinical Notes,Prescribe metronidazole and recommend adding fiber (pumpkin) to diet for colitis.
Ear cytology performed to confirm mites and check for secondary infection.,Parasites,Clinical Notes,Ear cytology performed to confirm mites and check for secondary infection.
Referral to veterinary dermatologist recommended for comprehensive allergy investigation.,Ear Infections,Clinical Notes,Referral to veterinary dermatologist recommended for comprehensive allergy investigation.
Isolate animals with Sarcoptes or highly contagious parasites from other pets.,Parasites,Clinical Notes,Isolate animals with Sarcoptes or highly contagious parasites from other pets.
Treat otodectes infestation with topical selamectin (Revolution) or moxidectin/imidacloprid (Advantage Multi). Clean ears prior.,Parasites,Clinical Notes,Treat otodectes infestation with topical selamectin (Revolution) or moxidectin/imidacloprid (Advantage Multi). Clean ears prior.
Rule out scabies based on intense pruritus and lesion distribution.,Skin Irritations,Clinical Notes,Rule out scabies based on intense pruritus and lesion distribution.
Stool culture pending; start supportive care.,Digestive Issues,Clinical Notes,Stool culture pending; start supportive care.
Scaling and redness on back; medicated bath advised.,Skin Irritations,Clinical Notes,Scaling and redness on back; medicated bath advised.
Treat all animals in contact with sarcoptic mange patient.,Parasites,Clinical Notes,Treat all animals in contact with sarcoptic mange patient.
Rabbit presents with severe crusting otitis externa due to Psoroptes cuniculi infestation.,Ear Infections,Clinical Notes,Rabbit presents with severe crusting otitis externa due to Psoroptes cuniculi infestation.
Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.,Skin Irritations,Clinical Notes,Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.
Abdominocentesis performed; fluid analysis pending.,Digestive Issues,Clinical Notes,Abdominocentesis performed; fluid analysis pending.
Flea bite hypersensitivity is primary differential for caudal dorsal pruritus.,Skin Irritations,Clinical Notes,Flea bite hypersensitivity is primary differential for caudal dorsal pruritus.
Palliative radiation therapy discussed for bone pain.,Mobility Problems,Clinical Notes,Palliative radiation therapy discussed for bone pain.
"Recommend easily digestible, low-fat diet for recovery.",Digestive Issues,Clinical Notes,"Recommend easily digestible, low-fat diet for recovery."
"Provided post-operative instructions for aural hematoma repair (e.g., drain care, E-collar use).",Ear Infections,Clinical Notes,"Provided post-operative instructions for aural hematoma repair (e.g., drain care, E-collar use)."
Heavy burden of flea dirt noted on exam. Diagnosis: Ctenocephalides felis infestation.,Parasites,Clinical Notes,Heavy burden of flea dirt noted on exam. Diagnosis: Ctenocephalides felis infestation.
Referral to neurologist for MRI and potential surgical decompression for IVDD.,Mobility Problems,Clinical Notes,Referral to neurologist for MRI and potential surgical decompression for IVDD.
Psoroptes cuniculi (rabbit ear mite) infestation causing otitis externa.,Parasites,Clinical Notes,Psoroptes cuniculi (rabbit ear mite) infestation causing otitis externa.
Rectal palpation reveals firm mass; biopsy recommended.,Digestive Issues,Clinical Notes,Rectal palpation reveals firm mass; biopsy recommended.
Reduced range of motion and crepitus noted in bilateral hips; suspect osteoarthritis (OA)/degenerative joint condition (DJD).,Mobility Problems,Clinical Notes,Reduced range of motion and crepitus noted in bilateral hips; suspect osteoarthritis (OA)/degenerative joint condition (DJD).
Hemorrhagic gastroenteritis (HGE) suspected due to 'raspberry jam' stool and elevated PCV.,Digestive Issues,Clinical Notes,Hemorrhagic gastroenteritis (HGE) suspected due to 'raspberry jam' stool and elevated PCV.
Recurrent otitis likely secondary to underlying food allergy. Initiate diet trial.,Ear Infections,Clinical Notes,Recurrent otitis likely secondary to underlying food allergy. Initiate diet trial.
"Trixacarus caviae infestation in guinea pig causing intense pruritus, scaling, seizures. Treat with ivermectin/selamectin.",Parasites,Clinical Notes,"Trixacarus caviae infestation in guinea pig causing intense pruritus, scaling, seizures. Treat with ivermectin/selamectin."
Consider empirical deworming with broad-spectrum anthelmintic.,Digestive Issues,Clinical Notes,Consider empirical deworming with broad-spectrum anthelmintic.
Pain elicited on biceps tendon palpation and shoulder flexion.,Mobility Problems,Clinical Notes,Pain elicited on biceps tendon palpation and shoulder flexion.
Amblyomma americanum tick removed; advise monitoring for signs of Ehrlichiosis.,Parasites,Clinical Notes,Amblyomma americanum tick removed; advise monitoring for signs of Ehrlichiosis.
Provide client handout detailing comprehensive flea control strategy (pet and environment).,Parasites,Clinical Notes,Provide client handout detailing comprehensive flea control strategy (pet and environment).
Document date of tick removal and location.,Parasites,Clinical Notes,Document date of tick removal and location.
Canine pancreatic lipase (cPL) snap test positive. Consistent with pancreatitis.,Digestive Issues,Clinical Notes,Canine pancreatic lipase (cPL) snap test positive. Consistent with pancreatitis.
"Recommend initiation of monthly isoxazoline product (e.g., Bravecto, Nexgard, Simparica) for flea/tick control.",Parasites,Clinical Notes,"Recommend initiation of monthly isoxazoline product (e.g., Bravecto, Nexgard, Simparica) for flea/tick control."
"Crusting lesions on pinnal margins and pressure points; consider vasculitis, pemphigus, zinc-responsive dermatosis.",Skin Irritations,Clinical Notes,"Crusting lesions on pinnal margins and pressure points; consider vasculitis, pemphigus, zinc-responsive dermatosis."
Vomiting post-meal; test for food intolerance.,Digestive Issues,Clinical Notes,Vomiting post-meal; test for food intolerance.
Melena noted on rectal exam; suggests upper GI bleeding.,Digestive Issues,Clinical Notes,Melena noted on rectal exam; suggests upper GI bleeding.
Emphasize importance of removing feces from yard daily to break parasite life cycles.,Parasites,Clinical Notes,Emphasize importance of removing feces from yard daily to break parasite life cycles.
Advise owner that Sarcoptes mites can survive off-host for a limited time.,Parasites,Clinical Notes,Advise owner that Sarcoptes mites can survive off-host for a limited time.
Ensure owner understands frequency and duration of deworming medication.,Parasites,Clinical Notes,Ensure owner understands frequency and duration of deworming medication.
"Examine contralateral ear; mild inflammation noted, recommend starting treatment AU.",Ear Infections,Clinical Notes,"Examine contralateral ear; mild inflammation noted, recommend starting treatment AU."
Parvovirus antigen test negative.,Digestive Issues,Clinical Notes,Parvovirus antigen test negative.
Vomiting and lethargy; check for intoxication.,Digestive Issues,Clinical Notes,Vomiting and lethargy; check for intoxication.
Provide client handout on proper tick removal technique and importance of prevention.,Parasites,Clinical Notes,Provide client handout on proper tick removal technique and importance of prevention.
"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis.",Ear Infections,Clinical Notes,"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis."
Portosystemic shunt considered in young animal with poor growth and GI signs.,Digestive Issues,Clinical Notes,Portosystemic shunt considered in young animal with poor growth and GI signs.
Perform trichogram (hair pluck exam) to look for lice eggs (nits) or Cheyletiella.,Parasites,Clinical Notes,Perform trichogram (hair pluck exam) to look for lice eggs (nits) or Cheyletiella.
"Advise meticulous hand hygiene and prompt feces removal to minimize zoonotic risk (e.g., roundworms, hookworms).",Parasites,Clinical Notes,"Advise meticulous hand hygiene and prompt feces removal to minimize zoonotic risk (e.g., roundworms, hookworms)."
Discuss long-term management plan for chronic conditions.,Mobility Problems,Clinical Notes,Discuss long-term management plan for chronic conditions.
Address any owner financial concerns and discuss alternative treatment plans if necessary.,Ear Infections,Clinical Notes,Address any owner financial concerns and discuss alternative treatment plans if necessary.
Myasthenia gravis diagnosed via Tensilon test or ACh receptor antibody titer.,Mobility Problems,Clinical Notes,Myasthenia gravis diagnosed via Tensilon test or ACh receptor antibody titer.
"Superficial necrolytic dermatitis (hepatocutaneous syndrome) suspected; check liver values/ultrasound, amino acids.",Skin Irritations,Clinical Notes,"Superficial necrolytic dermatitis (hepatocutaneous syndrome) suspected; check liver values/ultrasound, amino acids."
Hypertrophic osteodystrophy (HOD) suspected in young growing dog with fever and metaphyseal swelling/pain.,Mobility Problems,Clinical Notes,Hypertrophic osteodystrophy (HOD) suspected in young growing dog with fever and metaphyseal swelling/pain.
"Strict confinement (crate rest, leash walks only for elimination) mandated for 8 weeks post-operatively.",Mobility Problems,Clinical Notes,"Strict confinement (crate rest, leash walks only for elimination) mandated for 8 weeks post-operatively."
Engorged Ixodes pacificus tick removed from shoulder. Discuss Lyme condition prevention/monitoring.,Parasites,Clinical Notes,Engorged Ixodes pacificus tick removed from shoulder. Discuss Lyme condition prevention/monitoring.
"Bladder management (manual expression, catheterization) required for paralyzed patients.",Mobility Problems,Clinical Notes,"Bladder management (manual expression, catheterization) required for paralyzed patients."
Radiographs show significant joint effusion in bilateral stifles.,Mobility Problems,Clinical Notes,Radiographs show significant joint effusion in bilateral stifles.
Ensure accurate weight for correct dosage of preventatives/treatments.,Parasites,Clinical Notes,Ensure accurate weight for correct dosage of preventatives/treatments.
